path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence
Subject 1/ADL/01.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__01.npz,alphapose,64,0,0.742009
Subject 1/ADL/02.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__02.npz,alphapose,64,0,0.764397
Subject 1/ADL/03.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__03.npz,alphapose,64,0,0.765966
Subject 1/ADL/04.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__04.npz,alphapose,64,0,0.838415
Subject 1/ADL/05.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__05.npz,alphapose,64,2,0.721402
Subject 1/ADL/06.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__06.npz,alphapose,64,0,0.771203
Subject 1/ADL/07.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__07.npz,alphapose,64,0,0.874707
Subject 1/ADL/08.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__08.npz,alphapose,64,0,0.842508
Subject 1/ADL/09.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__09.npz,alphapose,64,0,0.843061
Subject 1/ADL/10.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__10.npz,alphapose,64,0,0.860165
Subject 1/ADL/11.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__11.npz,alphapose,64,0,0.843936
Subject 1/ADL/12.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__12.npz,alphapose,64,0,0.844654
Subject 1/ADL/13.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_alphapose_t64/Subject_1__ADL__13.npz,alphapose,64,0,0.835342
