path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence
Subject 1/ADL/01.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__01.npz,openpose,64,0,0.115930
Subject 1/ADL/02.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__02.npz,openpose,64,0,0.127455
Subject 1/ADL/03.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__03.npz,openpose,64,0,0.146011
Subject 1/ADL/04.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__04.npz,openpose,64,0,0.410570
Subject 1/ADL/05.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__05.npz,openpose,64,2,0.310011
Subject 1/ADL/06.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__06.npz,openpose,64,0,0.425906
Subject 1/ADL/07.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__07.npz,openpose,64,0,0.430132
Subject 1/ADL/08.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__08.npz,openpose,64,0,0.313333
Subject 1/ADL/09.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__09.npz,openpose,64,0,0.243080
Subject 1/ADL/10.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__10.npz,openpose,64,0,0.226330
Subject 1/ADL/11.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__11.npz,openpose,64,0,0.319214
Subject 1/ADL/12.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__12.npz,openpose,64,0,0.240991
Subject 1/ADL/13.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__13.npz,openpose,64,0,0.380031
Subject 1/ADL/14.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__14.npz,openpose,64,0,0.305438
Subject 1/ADL/15.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__15.npz,openpose,64,0,0.411868
Subject 1/ADL/16.mp4,0,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__ADL__16.npz,openpose,64,0,0.408545
Subject 1/Fall/01.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__01.npz,openpose,64,14,0.258719
Subject 1/Fall/02.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__02.npz,openpose,64,34,0.160494
Subject 1/Fall/03.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__03.npz,openpose,64,0,0.220529
Subject 1/Fall/04.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__04.npz,openpose,64,0,0.250314
Subject 1/Fall/05.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__05.npz,openpose,64,0,0.111223
Subject 1/Fall/06.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__06.npz,openpose,64,0,0.142489
Subject 1/Fall/07.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__07.npz,openpose,64,0,0.132620
Subject 1/Fall/08.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__08.npz,openpose,64,0,0.155639
Subject 1/Fall/09.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__09.npz,openpose,64,0,0.115884
Subject 1/Fall/10.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__10.npz,openpose,64,0,0.178791
Subject 1/Fall/11.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__11.npz,openpose,64,0,0.322309
Subject 1/Fall/12.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__12.npz,openpose,64,0,0.191598
Subject 1/Fall/13.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__13.npz,openpose,64,0,0.331736
Subject 1/Fall/14.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__14.npz,openpose,64,0,0.361250
Subject 1/Fall/15.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__15.npz,openpose,64,0,0.215871
Subject 1/Fall/16.mp4,1,1,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_1__Fall__16.npz,openpose,64,0,0.311298
Subject 2/ADL/01.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__01.npz,openpose,64,0,0.285118
Subject 2/ADL/02.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__02.npz,openpose,64,0,0.160048
Subject 2/ADL/03.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__03.npz,openpose,64,0,0.275977
Subject 2/ADL/04.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__04.npz,openpose,64,0,0.300963
Subject 2/ADL/05.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__05.npz,openpose,64,0,0.184805
Subject 2/ADL/06.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__06.npz,openpose,64,0,0.200006
Subject 2/ADL/07.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__07.npz,openpose,64,0,0.291860
Subject 2/ADL/08.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__08.npz,openpose,64,0,0.382772
Subject 2/ADL/09.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__09.npz,openpose,64,0,0.396706
Subject 2/ADL/10.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__10.npz,openpose,64,0,0.303709
Subject 2/ADL/11.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__11.npz,openpose,64,0,0.287753
Subject 2/ADL/12.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__12.npz,openpose,64,0,0.128684
Subject 2/ADL/13.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__13.npz,openpose,64,0,0.295850
Subject 2/ADL/14.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__14.npz,openpose,64,0,0.075021
Subject 2/ADL/15.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__15.npz,openpose,64,0,0.153588
Subject 2/ADL/16.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__16.npz,openpose,64,0,0.077129
Subject 2/ADL/17.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__17.npz,openpose,64,0,0.139573
Subject 2/ADL/18.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__18.npz,openpose,64,0,0.063773
Subject 2/ADL/19.mp4,0,2,gmdcsa24,data/poses/gmdcsa24_openpose_t64/Subject_2__ADL__19.npz,openpose,64,0,0.062501
