segment_id,video_path,label,class_name,subject,source_kind,start_seconds,end_seconds,duration_seconds,description,source_classes
Subject 1/ADL/01.mp4#t0.000-1.000-sitting-1,Subject 1/ADL/01.mp4,2,sitting,1,adl,0.000000,1.000000,1.000000, Sitting on the bed to sleeping right side on the bed. Face towards camera, Sitting[0 to 1]; Sleeping[2 to 8]
Subject 1/ADL/01.mp4#t2.000-8.000-lying_sleeping-2,Subject 1/ADL/01.mp4,3,lying_sleeping,1,adl,2.000000,8.000000,6.000000, Sitting on the bed to sleeping right side on the bed. Face towards camera, Sitting[0 to 1]; Sleeping[2 to 8]
Subject 1/ADL/02.mp4#t0.000-0.500-sitting-1,Subject 1/ADL/02.mp4,2,sitting,1,adl,0.000000,0.500000,0.500000, Sitting on the bed to sleeping left side on the bed. Face towards the camera, Sitting[0 to 0.5]; Sleeping[1.5 to 6]
Subject 1/ADL/02.mp4#t1.500-6.000-lying_sleeping-2,Subject 1/ADL/02.mp4,3,lying_sleeping,1,adl,1.500000,6.000000,4.500000, Sitting on the bed to sleeping left side on the bed. Face towards the camera, Sitting[0 to 0.5]; Sleeping[1.5 to 6]
Subject 1/ADL/03.mp4#t0.000-0.500-sitting-1,Subject 1/ADL/03.mp4,2,sitting,1,adl,0.000000,0.500000,0.500000, Sitting on the bed to sleeping left side on the bed. Face towards the ceiling, Sitting[0 to 0.5]; Sleeping[1 to 6]
Subject 1/ADL/03.mp4#t1.000-6.000-lying_sleeping-2,Subject 1/ADL/03.mp4,3,lying_sleeping,1,adl,1.000000,6.000000,5.000000, Sitting on the bed to sleeping left side on the bed. Face towards the ceiling, Sitting[0 to 0.5]; Sleeping[1 to 6]
Subject 1/ADL/04.mp4#t2.500-5.000-sitting-1,Subject 1/ADL/04.mp4,2,sitting,1,adl,2.500000,5.000000,2.500000, From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed, Sitting[2.5 to 5]; Sleeping[0 to 1.5]
Subject 1/ADL/04.mp4#t0.000-1.500-lying_sleeping-2,Subject 1/ADL/04.mp4,3,lying_sleeping,1,adl,0.000000,1.500000,1.500000, From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed, Sitting[2.5 to 5]; Sleeping[0 to 1.5]
Subject 1/ADL/05.mp4#t3.000-10.000-sitting-1,Subject 1/ADL/05.mp4,2,sitting,1,adl,3.000000,10.000000,7.000000, Coming to the bed and reading book in the sitting position. Front view of the subject. One leg folded, Reading[6 to 10]; Sitting[3 to 10]; Walking[1 to 3]
Subject 1/ADL/05.mp4#t1.000-3.000-walking-2,Subject 1/ADL/05.mp4,0,walking,1,adl,1.000000,3.000000,2.000000, Coming to the bed and reading book in the sitting position. Front view of the subject. One leg folded, Reading[6 to 10]; Sitting[3 to 10]; Walking[1 to 3]
Subject 1/ADL/06.mp4#t0.000-2.000-sitting-1,Subject 1/ADL/06.mp4,2,sitting,1,adl,0.000000,2.000000,2.000000, Sitting on the bed (front view) to reading the book while supporting towards the wall. Side view, Reading[3 to 12]; Sitting[0 to 2]
Subject 1/ADL/07.mp4#t0.000-7.000-sitting-1,Subject 1/ADL/07.mp4,2,sitting,1,adl,0.000000,7.000000,7.000000, Reading book while sitting on the chair; Front view;Leg straight, Reading[0 to 5.5]; Sitting[0 to 7]
Subject 1/ADL/08.mp4#t0.000-6.000-walking-1,Subject 1/ADL/08.mp4,0,walking,1,adl,0.000000,6.000000,6.000000, Walking in the room, Walking[0 to 6]
