path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence
Subject 1/ADL/01.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__01.npz,rtmo,64,1,0.803587
Subject 1/ADL/02.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__02.npz,rtmo,64,2,0.795905
Subject 1/ADL/03.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__03.npz,rtmo,64,0,0.779198
Subject 1/ADL/04.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__04.npz,rtmo,64,0,0.838236
Subject 1/ADL/05.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__05.npz,rtmo,64,12,0.694128
Subject 1/ADL/06.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__06.npz,rtmo,64,0,0.828231
Subject 1/ADL/07.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__07.npz,rtmo,64,15,0.586449
Subject 1/ADL/08.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__08.npz,rtmo,64,7,0.683027
Subject 1/ADL/09.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__09.npz,rtmo,64,2,0.710932
Subject 1/ADL/10.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__10.npz,rtmo,64,2,0.725817
Subject 1/ADL/11.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__11.npz,rtmo,64,23,0.488097
Subject 1/ADL/12.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__12.npz,rtmo,64,8,0.640970
Subject 1/ADL/13.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__13.npz,rtmo,64,0,0.745629
Subject 1/ADL/14.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__14.npz,rtmo,64,13,0.590316
Subject 1/ADL/15.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__15.npz,rtmo,64,0,0.747285
Subject 1/ADL/16.mp4,0,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__ADL__16.npz,rtmo,64,0,0.751225
Subject 1/Fall/01.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__01.npz,rtmo,64,44,0.234034
Subject 1/Fall/02.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__02.npz,rtmo,64,47,0.202167
Subject 1/Fall/03.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__03.npz,rtmo,64,23,0.516904
Subject 1/Fall/04.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__04.npz,rtmo,64,4,0.701451
Subject 1/Fall/05.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__05.npz,rtmo,64,7,0.667371
Subject 1/Fall/06.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__06.npz,rtmo,64,14,0.567801
Subject 1/Fall/07.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__07.npz,rtmo,64,13,0.570136
Subject 1/Fall/08.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__08.npz,rtmo,64,13,0.597842
Subject 1/Fall/09.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__09.npz,rtmo,64,41,0.258888
Subject 1/Fall/10.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__10.npz,rtmo,64,7,0.671013
Subject 1/Fall/11.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__11.npz,rtmo,64,6,0.716951
Subject 1/Fall/12.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__12.npz,rtmo,64,20,0.531178
Subject 1/Fall/13.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__13.npz,rtmo,64,2,0.733684
Subject 1/Fall/14.mp4,1,1,gmdcsa24,data/poses/rtmo/gmdcsa24_t64/Subject_1__Fall__14.npz,rtmo,64,23,0.430409
