path,video_path,subject,dataset,video_label,start_frame,end_frame,start_seconds,end_seconds,fall_onset_seconds,lead_seconds,y_1s,y_2s,y_3s,stage,pose_valid_ratio
Subject 1/ADL/01.mp4#f0-63,Subject 1/ADL/01.mp4,1,gmdcsa24,0,0,63,0.000000,2.127480,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f4-67,Subject 1/ADL/01.mp4,1,gmdcsa24,0,4,67,0.135078,2.262558,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f8-71,Subject 1/ADL/01.mp4,1,gmdcsa24,0,8,71,0.270156,2.397636,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f12-75,Subject 1/ADL/01.mp4,1,gmdcsa24,0,12,75,0.405234,2.532714,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f16-79,Subject 1/ADL/01.mp4,1,gmdcsa24,0,16,79,0.540312,2.667792,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f20-83,Subject 1/ADL/01.mp4,1,gmdcsa24,0,20,83,0.675390,2.802870,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f24-87,Subject 1/ADL/01.mp4,1,gmdcsa24,0,24,87,0.810469,2.937949,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f28-91,Subject 1/ADL/01.mp4,1,gmdcsa24,0,28,91,0.945547,3.073027,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f32-95,Subject 1/ADL/01.mp4,1,gmdcsa24,0,32,95,1.080625,3.208105,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f36-99,Subject 1/ADL/01.mp4,1,gmdcsa24,0,36,99,1.215703,3.343183,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f40-103,Subject 1/ADL/01.mp4,1,gmdcsa24,0,40,103,1.350781,3.478261,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f44-107,Subject 1/ADL/01.mp4,1,gmdcsa24,0,44,107,1.485859,3.613339,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f48-111,Subject 1/ADL/01.mp4,1,gmdcsa24,0,48,111,1.620937,3.748417,,,0,0,0,ADL,1.000000
Subject 1/ADL/01.mp4#f52-115,Subject 1/ADL/01.mp4,1,gmdcsa24,0,52,115,1.756015,3.883495,,,0,0,0,ADL,1.000000
