path,video_path,label,subject,dataset,start_frame,end_frame,start_seconds,end_seconds,fall_onset_seconds,pose_valid_ratio
Subject 1/ADL/01.mp4#f0-63,Subject 1/ADL/01.mp4,0,1,gmdcsa24,0,63,0.000000,2.127480,,1.000000
Subject 1/ADL/01.mp4#f16-79,Subject 1/ADL/01.mp4,0,1,gmdcsa24,16,79,0.540312,2.667792,,1.000000
Subject 1/ADL/01.mp4#f32-95,Subject 1/ADL/01.mp4,0,1,gmdcsa24,32,95,1.080625,3.208105,,1.000000
Subject 1/ADL/01.mp4#f48-111,Subject 1/ADL/01.mp4,0,1,gmdcsa24,48,111,1.620937,3.748417,,1.000000
Subject 1/ADL/01.mp4#f64-127,Subject 1/ADL/01.mp4,0,1,gmdcsa24,64,127,2.161250,4.288730,,1.000000
Subject 1/ADL/01.mp4#f80-143,Subject 1/ADL/01.mp4,0,1,gmdcsa24,80,143,2.701562,4.829042,,1.000000
Subject 1/ADL/01.mp4#f96-159,Subject 1/ADL/01.mp4,0,1,gmdcsa24,96,159,3.241874,5.369354,,1.000000
Subject 1/ADL/01.mp4#f112-175,Subject 1/ADL/01.mp4,0,1,gmdcsa24,112,175,3.782187,5.909667,,1.000000
Subject 1/ADL/01.mp4#f128-191,Subject 1/ADL/01.mp4,0,1,gmdcsa24,128,191,4.322499,6.449979,,1.000000
Subject 1/ADL/01.mp4#f144-207,Subject 1/ADL/01.mp4,0,1,gmdcsa24,144,207,4.862811,6.990291,,1.000000
Subject 1/ADL/01.mp4#f160-223,Subject 1/ADL/01.mp4,0,1,gmdcsa24,160,223,5.403124,7.530604,,1.000000
Subject 1/ADL/01.mp4#f176-239,Subject 1/ADL/01.mp4,0,1,gmdcsa24,176,239,5.943436,8.070916,,1.000000
Subject 1/ADL/02.mp4#f0-63,Subject 1/ADL/02.mp4,0,1,gmdcsa24,0,63,0.000000,2.128488,,1.000000
Subject 1/ADL/02.mp4#f16-79,Subject 1/ADL/02.mp4,0,1,gmdcsa24,16,79,0.540568,2.669056,,1.000000
Subject 1/ADL/02.mp4#f32-95,Subject 1/ADL/02.mp4,0,1,gmdcsa24,32,95,1.081137,3.209625,,1.000000
Subject 1/ADL/02.mp4#f48-111,Subject 1/ADL/02.mp4,0,1,gmdcsa24,48,111,1.621705,3.750193,,1.000000
Subject 1/ADL/02.mp4#f64-127,Subject 1/ADL/02.mp4,0,1,gmdcsa24,64,127,2.162273,4.290761,,1.000000
Subject 1/ADL/02.mp4#f80-143,Subject 1/ADL/02.mp4,0,1,gmdcsa24,80,143,2.702842,4.831330,,1.000000
Subject 1/ADL/02.mp4#f96-159,Subject 1/ADL/02.mp4,0,1,gmdcsa24,96,159,3.243410,5.371898,,1.000000
Subject 1/ADL/02.mp4#f112-175,Subject 1/ADL/02.mp4,0,1,gmdcsa24,112,175,3.783979,5.912466,,1.000000
Subject 1/ADL/02.mp4#f128-191,Subject 1/ADL/02.mp4,0,1,gmdcsa24,128,191,4.324547,6.453035,,1.000000
Subject 1/ADL/03.mp4#f0-63,Subject 1/ADL/03.mp4,0,1,gmdcsa24,0,63,0.000000,2.117760,,1.000000
Subject 1/ADL/03.mp4#f16-79,Subject 1/ADL/03.mp4,0,1,gmdcsa24,16,79,0.537844,2.655604,,1.000000
Subject 1/ADL/03.mp4#f32-95,Subject 1/ADL/03.mp4,0,1,gmdcsa24,32,95,1.075688,3.193448,,1.000000
Subject 1/ADL/03.mp4#f48-111,Subject 1/ADL/03.mp4,0,1,gmdcsa24,48,111,1.613532,3.731292,,1.000000
Subject 1/ADL/03.mp4#f64-127,Subject 1/ADL/03.mp4,0,1,gmdcsa24,64,127,2.151376,4.269136,,1.000000
Subject 1/ADL/03.mp4#f80-143,Subject 1/ADL/03.mp4,0,1,gmdcsa24,80,143,2.689219,4.806980,,1.000000
Subject 1/ADL/03.mp4#f96-159,Subject 1/ADL/03.mp4,0,1,gmdcsa24,96,159,3.227063,5.344824,,1.000000
Subject 1/ADL/03.mp4#f112-175,Subject 1/ADL/03.mp4,0,1,gmdcsa24,112,175,3.764907,5.882667,,1.000000
Subject 1/ADL/03.mp4#f128-191,Subject 1/ADL/03.mp4,0,1,gmdcsa24,128,191,4.302751,6.420511,,1.000000
Subject 1/ADL/04.mp4#f0-63,Subject 1/ADL/04.mp4,0,1,gmdcsa24,0,63,0.000000,2.152858,,1.000000
Subject 1/ADL/04.mp4#f16-79,Subject 1/ADL/04.mp4,0,1,gmdcsa24,16,79,0.546758,2.699616,,1.000000
Subject 1/ADL/04.mp4#f32-95,Subject 1/ADL/04.mp4,0,1,gmdcsa24,32,95,1.093515,3.246374,,1.000000
Subject 1/ADL/04.mp4#f48-111,Subject 1/ADL/04.mp4,0,1,gmdcsa24,48,111,1.640273,3.793131,,1.000000
Subject 1/ADL/04.mp4#f64-127,Subject 1/ADL/04.mp4,0,1,gmdcsa24,64,127,2.187031,4.339889,,1.000000
Subject 1/ADL/04.mp4#f80-143,Subject 1/ADL/04.mp4,0,1,gmdcsa24,80,143,2.733788,4.886647,,1.000000
Subject 1/ADL/04.mp4#f96-159,Subject 1/ADL/04.mp4,0,1,gmdcsa24,96,159,3.280546,5.433404,,1.000000
Subject 1/ADL/05.mp4#f0-63,Subject 1/ADL/05.mp4,0,1,gmdcsa24,0,63,0.000000,2.115837,,1.000000
Subject 1/ADL/05.mp4#f16-79,Subject 1/ADL/05.mp4,0,1,gmdcsa24,16,79,0.537355,2.653192,,1.000000
Subject 1/ADL/05.mp4#f32-95,Subject 1/ADL/05.mp4,0,1,gmdcsa24,32,95,1.074711,3.190548,,1.000000
Subject 1/ADL/05.mp4#f48-111,Subject 1/ADL/05.mp4,0,1,gmdcsa24,48,111,1.612066,3.727903,,1.000000
Subject 1/ADL/05.mp4#f64-127,Subject 1/ADL/05.mp4,0,1,gmdcsa24,64,127,2.149422,4.265259,,1.000000
Subject 1/ADL/05.mp4#f80-143,Subject 1/ADL/05.mp4,0,1,gmdcsa24,80,143,2.686777,4.802614,,1.000000
Subject 1/ADL/05.mp4#f96-159,Subject 1/ADL/05.mp4,0,1,gmdcsa24,96,159,3.224132,5.339969,,1.000000
Subject 1/ADL/05.mp4#f112-175,Subject 1/ADL/05.mp4,0,1,gmdcsa24,112,175,3.761488,5.877325,,1.000000
Subject 1/ADL/05.mp4#f128-191,Subject 1/ADL/05.mp4,0,1,gmdcsa24,128,191,4.298843,6.414680,,1.000000
Subject 1/ADL/05.mp4#f144-207,Subject 1/ADL/05.mp4,0,1,gmdcsa24,144,207,4.836199,6.952036,,1.000000
Subject 1/ADL/05.mp4#f160-223,Subject 1/ADL/05.mp4,0,1,gmdcsa24,160,223,5.373554,7.489391,,1.000000
Subject 1/ADL/05.mp4#f176-239,Subject 1/ADL/05.mp4,0,1,gmdcsa24,176,239,5.910909,8.026746,,1.000000
Subject 1/ADL/05.mp4#f192-255,Subject 1/ADL/05.mp4,0,1,gmdcsa24,192,255,6.448265,8.564102,,1.000000
Subject 1/ADL/05.mp4#f208-271,Subject 1/ADL/05.mp4,0,1,gmdcsa24,208,271,6.985620,9.101457,,1.000000
Subject 1/ADL/05.mp4#f224-287,Subject 1/ADL/05.mp4,0,1,gmdcsa24,224,287,7.522976,9.638813,,1.000000
Subject 1/ADL/05.mp4#f240-303,Subject 1/ADL/05.mp4,0,1,gmdcsa24,240,303,8.060331,10.176168,,1.000000
Subject 1/ADL/06.mp4#f0-63,Subject 1/ADL/06.mp4,0,1,gmdcsa24,0,63,0.000000,2.115952,,1.000000
Subject 1/ADL/06.mp4#f16-79,Subject 1/ADL/06.mp4,0,1,gmdcsa24,16,79,0.537385,2.653336,,1.000000
Subject 1/ADL/06.mp4#f32-95,Subject 1/ADL/06.mp4,0,1,gmdcsa24,32,95,1.074769,3.190721,,1.000000
Subject 1/ADL/06.mp4#f48-111,Subject 1/ADL/06.mp4,0,1,gmdcsa24,48,111,1.612154,3.728106,,1.000000
Subject 1/ADL/06.mp4#f64-127,Subject 1/ADL/06.mp4,0,1,gmdcsa24,64,127,2.149538,4.265490,,1.000000
Subject 1/ADL/06.mp4#f80-143,Subject 1/ADL/06.mp4,0,1,gmdcsa24,80,143,2.686923,4.802875,,1.000000
Subject 1/ADL/06.mp4#f96-159,Subject 1/ADL/06.mp4,0,1,gmdcsa24,96,159,3.224308,5.340259,,1.000000
Subject 1/ADL/06.mp4#f112-175,Subject 1/ADL/06.mp4,0,1,gmdcsa24,112,175,3.761692,5.877644,,1.000000
Subject 1/ADL/06.mp4#f128-191,Subject 1/ADL/06.mp4,0,1,gmdcsa24,128,191,4.299077,6.415029,,1.000000
Subject 1/ADL/06.mp4#f144-207,Subject 1/ADL/06.mp4,0,1,gmdcsa24,144,207,4.836461,6.952413,,1.000000
Subject 1/ADL/06.mp4#f160-223,Subject 1/ADL/06.mp4,0,1,gmdcsa24,160,223,5.373846,7.489798,,1.000000
Subject 1/ADL/06.mp4#f176-239,Subject 1/ADL/06.mp4,0,1,gmdcsa24,176,239,5.911231,8.027182,,1.000000
Subject 1/ADL/06.mp4#f192-255,Subject 1/ADL/06.mp4,0,1,gmdcsa24,192,255,6.448615,8.564567,,1.000000
Subject 1/ADL/06.mp4#f208-271,Subject 1/ADL/06.mp4,0,1,gmdcsa24,208,271,6.986000,9.101952,,1.000000
Subject 1/ADL/06.mp4#f224-287,Subject 1/ADL/06.mp4,0,1,gmdcsa24,224,287,7.523384,9.639336,,1.000000
Subject 1/ADL/06.mp4#f240-303,Subject 1/ADL/06.mp4,0,1,gmdcsa24,240,303,8.060769,10.176721,,1.000000
Subject 1/ADL/06.mp4#f256-319,Subject 1/ADL/06.mp4,0,1,gmdcsa24,256,319,8.598154,10.714105,,1.000000
Subject 1/ADL/06.mp4#f272-335,Subject 1/ADL/06.mp4,0,1,gmdcsa24,272,335,9.135538,11.251490,,1.000000
Subject 1/ADL/06.mp4#f288-351,Subject 1/ADL/06.mp4,0,1,gmdcsa24,288,351,9.672923,11.788875,,1.000000
Subject 1/ADL/07.mp4#f0-63,Subject 1/ADL/07.mp4,0,1,gmdcsa24,0,63,0.000000,2.119847,,1.000000
Subject 1/ADL/07.mp4#f16-79,Subject 1/ADL/07.mp4,0,1,gmdcsa24,16,79,0.538374,2.658221,,1.000000
Subject 1/ADL/07.mp4#f32-95,Subject 1/ADL/07.mp4,0,1,gmdcsa24,32,95,1.076748,3.196594,,1.000000
Subject 1/ADL/07.mp4#f48-111,Subject 1/ADL/07.mp4,0,1,gmdcsa24,48,111,1.615121,3.734968,,1.000000
Subject 1/ADL/07.mp4#f64-127,Subject 1/ADL/07.mp4,0,1,gmdcsa24,64,127,2.153495,4.273342,,1.000000
Subject 1/ADL/07.mp4#f80-143,Subject 1/ADL/07.mp4,0,1,gmdcsa24,80,143,2.691869,4.811716,,1.000000
Subject 1/ADL/07.mp4#f96-159,Subject 1/ADL/07.mp4,0,1,gmdcsa24,96,159,3.230243,5.350090,,1.000000
Subject 1/ADL/07.mp4#f112-175,Subject 1/ADL/07.mp4,0,1,gmdcsa24,112,175,3.768617,5.888464,,1.000000
Subject 1/ADL/07.mp4#f128-191,Subject 1/ADL/07.mp4,0,1,gmdcsa24,128,191,4.306990,6.426837,,1.000000
Subject 1/ADL/07.mp4#f144-207,Subject 1/ADL/07.mp4,0,1,gmdcsa24,144,207,4.845364,6.965211,,1.000000
Subject 1/ADL/07.mp4#f160-223,Subject 1/ADL/07.mp4,0,1,gmdcsa24,160,223,5.383738,7.503585,,1.000000
Subject 1/ADL/08.mp4#f0-63,Subject 1/ADL/08.mp4,0,1,gmdcsa24,0,63,0.000000,2.118900,,1.000000
Subject 1/ADL/08.mp4#f16-79,Subject 1/ADL/08.mp4,0,1,gmdcsa24,16,79,0.538133,2.657033,,1.000000
Subject 1/ADL/08.mp4#f32-95,Subject 1/ADL/08.mp4,0,1,gmdcsa24,32,95,1.076267,3.195167,,1.000000
Subject 1/ADL/08.mp4#f48-111,Subject 1/ADL/08.mp4,0,1,gmdcsa24,48,111,1.614400,3.733300,,1.000000
Subject 1/ADL/08.mp4#f64-127,Subject 1/ADL/08.mp4,0,1,gmdcsa24,64,127,2.152533,4.271433,,1.000000
Subject 1/ADL/08.mp4#f80-143,Subject 1/ADL/08.mp4,0,1,gmdcsa24,80,143,2.690667,4.809567,,1.000000
Subject 1/ADL/08.mp4#f96-159,Subject 1/ADL/08.mp4,0,1,gmdcsa24,96,159,3.228800,5.347700,,1.000000
Subject 1/ADL/08.mp4#f112-175,Subject 1/ADL/08.mp4,0,1,gmdcsa24,112,175,3.766933,5.885833,,1.000000
Subject 1/ADL/09.mp4#f0-63,Subject 1/ADL/09.mp4,0,1,gmdcsa24,0,63,0.000000,2.140114,,1.000000
Subject 1/ADL/09.mp4#f16-79,Subject 1/ADL/09.mp4,0,1,gmdcsa24,16,79,0.543521,2.683635,,1.000000
Subject 1/ADL/09.mp4#f32-95,Subject 1/ADL/09.mp4,0,1,gmdcsa24,32,95,1.087042,3.227157,,1.000000
Subject 1/ADL/09.mp4#f48-111,Subject 1/ADL/09.mp4,0,1,gmdcsa24,48,111,1.630563,3.770678,,1.000000
Subject 1/ADL/09.mp4#f64-127,Subject 1/ADL/09.mp4,0,1,gmdcsa24,64,127,2.174084,4.314199,,1.000000
Subject 1/ADL/09.mp4#f80-143,Subject 1/ADL/09.mp4,0,1,gmdcsa24,80,143,2.717606,4.857720,,1.000000
Subject 1/ADL/10.mp4#f0-63,Subject 1/ADL/10.mp4,0,1,gmdcsa24,0,63,0.000000,2.148154,,1.000000
Subject 1/ADL/10.mp4#f16-79,Subject 1/ADL/10.mp4,0,1,gmdcsa24,16,79,0.545563,2.693717,,1.000000
Subject 1/ADL/10.mp4#f32-95,Subject 1/ADL/10.mp4,0,1,gmdcsa24,32,95,1.091126,3.239280,,1.000000
Subject 1/ADL/10.mp4#f48-111,Subject 1/ADL/10.mp4,0,1,gmdcsa24,48,111,1.636689,3.784843,,1.000000
Subject 1/ADL/11.mp4#f0-63,Subject 1/ADL/11.mp4,0,1,gmdcsa24,0,63,0.000000,2.118240,,1.000000
Subject 1/ADL/11.mp4#f16-79,Subject 1/ADL/11.mp4,0,1,gmdcsa24,16,79,0.537966,2.656206,,1.000000
Subject 1/ADL/11.mp4#f32-95,Subject 1/ADL/11.mp4,0,1,gmdcsa24,32,95,1.075932,3.194172,,1.000000
Subject 1/ADL/11.mp4#f48-111,Subject 1/ADL/11.mp4,0,1,gmdcsa24,48,111,1.613897,3.732138,,1.000000
Subject 1/ADL/11.mp4#f64-127,Subject 1/ADL/11.mp4,0,1,gmdcsa24,64,127,2.151863,4.270104,,1.000000
Subject 1/ADL/11.mp4#f80-143,Subject 1/ADL/11.mp4,0,1,gmdcsa24,80,143,2.689829,4.808069,,1.000000
Subject 1/ADL/11.mp4#f96-159,Subject 1/ADL/11.mp4,0,1,gmdcsa24,96,159,3.227795,5.346035,,1.000000
Subject 1/ADL/11.mp4#f112-175,Subject 1/ADL/11.mp4,0,1,gmdcsa24,112,175,3.765761,5.884001,,1.000000
Subject 1/ADL/11.mp4#f128-191,Subject 1/ADL/11.mp4,0,1,gmdcsa24,128,191,4.303727,6.421967,,1.000000
Subject 1/ADL/11.mp4#f144-207,Subject 1/ADL/11.mp4,0,1,gmdcsa24,144,207,4.841692,6.959933,,1.000000
Subject 1/ADL/11.mp4#f160-223,Subject 1/ADL/11.mp4,0,1,gmdcsa24,160,223,5.379658,7.497899,,1.000000
Subject 1/ADL/11.mp4#f176-239,Subject 1/ADL/11.mp4,0,1,gmdcsa24,176,239,5.917624,8.035864,,1.000000
Subject 1/ADL/11.mp4#f192-255,Subject 1/ADL/11.mp4,0,1,gmdcsa24,192,255,6.455590,8.573830,,1.000000
Subject 1/ADL/11.mp4#f208-271,Subject 1/ADL/11.mp4,0,1,gmdcsa24,208,271,6.993556,9.111796,,1.000000
Subject 1/ADL/12.mp4#f0-63,Subject 1/ADL/12.mp4,0,1,gmdcsa24,0,63,0.000000,2.118168,,1.000000
Subject 1/ADL/12.mp4#f16-79,Subject 1/ADL/12.mp4,0,1,gmdcsa24,16,79,0.537947,2.656115,,1.000000
Subject 1/ADL/12.mp4#f32-95,Subject 1/ADL/12.mp4,0,1,gmdcsa24,32,95,1.075895,3.194063,,1.000000
Subject 1/ADL/12.mp4#f48-111,Subject 1/ADL/12.mp4,0,1,gmdcsa24,48,111,1.613842,3.732010,,1.000000
Subject 1/ADL/12.mp4#f64-127,Subject 1/ADL/12.mp4,0,1,gmdcsa24,64,127,2.151790,4.269957,,1.000000
Subject 1/ADL/12.mp4#f80-143,Subject 1/ADL/12.mp4,0,1,gmdcsa24,80,143,2.689737,4.807905,,1.000000
Subject 1/ADL/12.mp4#f96-159,Subject 1/ADL/12.mp4,0,1,gmdcsa24,96,159,3.227684,5.345852,,1.000000
Subject 1/ADL/12.mp4#f112-175,Subject 1/ADL/12.mp4,0,1,gmdcsa24,112,175,3.765632,5.883800,,1.000000
Subject 1/ADL/12.mp4#f128-191,Subject 1/ADL/12.mp4,0,1,gmdcsa24,128,191,4.303579,6.421747,,1.000000
Subject 1/ADL/12.mp4#f144-207,Subject 1/ADL/12.mp4,0,1,gmdcsa24,144,207,4.841527,6.959694,,1.000000
Subject 1/ADL/13.mp4#f0-63,Subject 1/ADL/13.mp4,0,1,gmdcsa24,0,63,0.000000,2.124346,,1.000000
Subject 1/ADL/13.mp4#f16-79,Subject 1/ADL/13.mp4,0,1,gmdcsa24,16,79,0.539517,2.663863,,1.000000
Subject 1/ADL/13.mp4#f32-95,Subject 1/ADL/13.mp4,0,1,gmdcsa24,32,95,1.079033,3.203380,,1.000000
Subject 1/ADL/13.mp4#f48-111,Subject 1/ADL/13.mp4,0,1,gmdcsa24,48,111,1.618550,3.742896,,1.000000
Subject 1/ADL/13.mp4#f64-127,Subject 1/ADL/13.mp4,0,1,gmdcsa24,64,127,2.158066,4.282413,,1.000000
Subject 1/ADL/13.mp4#f80-143,Subject 1/ADL/13.mp4,0,1,gmdcsa24,80,143,2.697583,4.821929,,1.000000
Subject 1/ADL/13.mp4#f96-159,Subject 1/ADL/13.mp4,0,1,gmdcsa24,96,159,3.237099,5.361446,,1.000000
Subject 1/ADL/13.mp4#f112-175,Subject 1/ADL/13.mp4,0,1,gmdcsa24,112,175,3.776616,5.900962,,1.000000
Subject 1/ADL/14.mp4#f0-63,Subject 1/ADL/14.mp4,0,1,gmdcsa24,0,63,0.000000,2.133139,,1.000000
Subject 1/ADL/14.mp4#f16-79,Subject 1/ADL/14.mp4,0,1,gmdcsa24,16,79,0.541750,2.674888,,1.000000
Subject 1/ADL/14.mp4#f32-95,Subject 1/ADL/14.mp4,0,1,gmdcsa24,32,95,1.083499,3.216638,,1.000000
Subject 1/ADL/14.mp4#f48-111,Subject 1/ADL/14.mp4,0,1,gmdcsa24,48,111,1.625249,3.758387,,1.000000
Subject 1/ADL/14.mp4#f64-127,Subject 1/ADL/14.mp4,0,1,gmdcsa24,64,127,2.166998,4.300137,,1.000000
Subject 1/ADL/14.mp4#f80-143,Subject 1/ADL/14.mp4,0,1,gmdcsa24,80,143,2.708748,4.841886,,1.000000
Subject 1/ADL/14.mp4#f96-159,Subject 1/ADL/14.mp4,0,1,gmdcsa24,96,159,3.250497,5.383636,,1.000000
Subject 1/ADL/15.mp4#f0-63,Subject 1/ADL/15.mp4,0,1,gmdcsa24,0,63,0.000000,2.130480,,1.000000
Subject 1/ADL/15.mp4#f16-79,Subject 1/ADL/15.mp4,0,1,gmdcsa24,16,79,0.541074,2.671554,,1.000000
Subject 1/ADL/15.mp4#f32-95,Subject 1/ADL/15.mp4,0,1,gmdcsa24,32,95,1.082148,3.212628,,1.000000
Subject 1/ADL/15.mp4#f48-111,Subject 1/ADL/15.mp4,0,1,gmdcsa24,48,111,1.623223,3.753702,,1.000000
Subject 1/ADL/15.mp4#f64-127,Subject 1/ADL/15.mp4,0,1,gmdcsa24,64,127,2.164297,4.294777,,1.000000
Subject 1/ADL/15.mp4#f80-143,Subject 1/ADL/15.mp4,0,1,gmdcsa24,80,143,2.705371,4.835851,,1.000000
Subject 1/ADL/15.mp4#f96-159,Subject 1/ADL/15.mp4,0,1,gmdcsa24,96,159,3.246445,5.376925,,1.000000
Subject 1/ADL/15.mp4#f112-175,Subject 1/ADL/15.mp4,0,1,gmdcsa24,112,175,3.787520,5.917999,,1.000000
Subject 1/ADL/15.mp4#f128-191,Subject 1/ADL/15.mp4,0,1,gmdcsa24,128,191,4.328594,6.459073,,1.000000
Subject 1/ADL/15.mp4#f144-207,Subject 1/ADL/15.mp4,0,1,gmdcsa24,144,207,4.869668,7.000148,,1.000000
Subject 1/ADL/16.mp4#f0-63,Subject 1/ADL/16.mp4,0,1,gmdcsa24,0,63,0.000000,2.133156,,1.000000
Subject 1/ADL/16.mp4#f16-79,Subject 1/ADL/16.mp4,0,1,gmdcsa24,16,79,0.541754,2.674910,,1.000000
Subject 1/ADL/16.mp4#f32-95,Subject 1/ADL/16.mp4,0,1,gmdcsa24,32,95,1.083508,3.216663,,1.000000
Subject 1/Fall/01.mp4#f0-63,Subject 1/Fall/01.mp4,0,1,gmdcsa24,0,63,0.000000,2.130683,3.400000,1.000000
Subject 1/Fall/01.mp4#f16-79,Subject 1/Fall/01.mp4,0,1,gmdcsa24,16,79,0.541126,2.671808,3.400000,1.000000
Subject 1/Fall/01.mp4#f32-95,Subject 1/Fall/01.mp4,0,1,gmdcsa24,32,95,1.082252,3.212934,3.400000,1.000000
Subject 1/Fall/01.mp4#f64-127,Subject 1/Fall/01.mp4,1,1,gmdcsa24,64,127,2.164503,4.295186,3.400000,1.000000
Subject 1/Fall/01.mp4#f80-143,Subject 1/Fall/01.mp4,1,1,gmdcsa24,80,143,2.705629,4.836312,3.400000,1.000000
Subject 1/Fall/01.mp4#f96-159,Subject 1/Fall/01.mp4,1,1,gmdcsa24,96,159,3.246755,5.377437,3.400000,1.000000
Subject 1/Fall/01.mp4#f112-175,Subject 1/Fall/01.mp4,1,1,gmdcsa24,112,175,3.787880,5.918563,3.400000,1.000000
Subject 1/Fall/01.mp4#f128-191,Subject 1/Fall/01.mp4,1,1,gmdcsa24,128,191,4.329006,6.459689,3.400000,1.000000
Subject 1/Fall/02.mp4#f16-79,Subject 1/Fall/02.mp4,1,1,gmdcsa24,16,79,0.539217,2.662384,1.900000,1.000000
Subject 1/Fall/02.mp4#f32-95,Subject 1/Fall/02.mp4,1,1,gmdcsa24,32,95,1.078434,3.201601,1.900000,1.000000
Subject 1/Fall/02.mp4#f48-111,Subject 1/Fall/02.mp4,1,1,gmdcsa24,48,111,1.617651,3.740817,1.900000,1.000000
