path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence
Subject 1/ADL/01.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__01.npz,rtmpose,64,0,0.661040
Subject 1/ADL/02.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__02.npz,rtmpose,64,0,0.646251
Subject 1/ADL/03.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__03.npz,rtmpose,64,0,0.703812
Subject 1/ADL/04.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__04.npz,rtmpose,64,0,0.766025
Subject 1/ADL/05.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__05.npz,rtmpose,64,0,0.660550
Subject 1/ADL/06.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__06.npz,rtmpose,64,0,0.753784
Subject 1/ADL/07.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__07.npz,rtmpose,64,0,0.805412
Subject 1/ADL/08.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__08.npz,rtmpose,64,0,0.786292
Subject 1/ADL/09.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__09.npz,rtmpose,64,0,0.777111
Subject 1/ADL/10.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__10.npz,rtmpose,64,0,0.779708
Subject 1/ADL/11.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__11.npz,rtmpose,64,0,0.772011
Subject 1/ADL/12.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__12.npz,rtmpose,64,0,0.770772
Subject 1/ADL/13.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/rtmpose/gmdcsa24_t64/Subject_1__ADL__13.npz,rtmpose,64,0,0.781722
