path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence,source_frames,track_count,primary_track_id,primary_track_coverage
Subject 1/ADL/01.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__01.npz,yolo_bytetrack,64,2,0.848464,245,6,1,0.975510
Subject 1/ADL/02.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__02.npz,yolo_bytetrack,64,1,0.868130,198,1,26,0.994949
Subject 1/ADL/03.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__03.npz,yolo_bytetrack,64,1,0.852299,199,3,29,0.994975
Subject 1/ADL/04.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__04.npz,yolo_bytetrack,64,0,0.910998,170,1,29,1.000000
Subject 1/ADL/05.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__05.npz,yolo_bytetrack,64,6,0.782252,314,1,50,0.894904
Subject 1/ADL/06.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__06.npz,yolo_bytetrack,64,0,0.864846,364,6,50,0.989011
Subject 1/ADL/07.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__07.npz,yolo_bytetrack,64,0,0.973988,224,1,50,1.000000
Subject 1/ADL/08.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__08.npz,yolo_bytetrack,64,1,0.831743,187,3,81,0.994652
Subject 1/ADL/09.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__09.npz,yolo_bytetrack,64,0,0.854389,147,1,81,1.000000
Subject 1/ADL/10.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__10.npz,yolo_bytetrack,64,1,0.862907,115,1,89,0.991304
Subject 1/ADL/11.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__11.npz,yolo_bytetrack,64,1,0.907961,277,2,92,0.996390
Subject 1/ADL/12.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__12.npz,yolo_bytetrack,64,0,0.877902,218,2,92,1.000000
Subject 1/ADL/13.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__13.npz,yolo_bytetrack,64,0,0.879355,187,1,92,1.000000
Subject 1/ADL/14.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__14.npz,yolo_bytetrack,64,0,0.856637,173,1,92,1.000000
Subject 1/ADL/15.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__15.npz,yolo_bytetrack,64,0,0.884557,212,1,92,1.000000
Subject 1/ADL/16.mp4,0,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__ADL__16.npz,yolo_bytetrack,64,0,0.849173,104,1,92,1.000000
Subject 1/Fall/01.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__01.npz,yolo_bytetrack,64,23,0.576670,203,1,92,0.630542
Subject 1/Fall/02.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__02.npz,yolo_bytetrack,64,37,0.373192,189,1,109,0.433862
Subject 1/Fall/03.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__03.npz,yolo_bytetrack,64,1,0.858218,176,1,110,0.994318
Subject 1/Fall/04.mp4,1,1,gmdcsa24,data/poses/yolo_bytetrack/gmdcsa24_t64_c010/Subject_1__Fall__04.npz,yolo_bytetrack,64,1,0.867628,146,1,116,0.986301
