path,label,subject,dataset,pose_path,backend,frames,zero_pose_frames,mean_confidence
Subject 1/ADL/01.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__01.npz,yolo,64,0,0.876613
Subject 1/ADL/02.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__02.npz,yolo,64,0,0.884453
Subject 1/ADL/03.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__03.npz,yolo,64,0,0.867622
Subject 1/ADL/04.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__04.npz,yolo,64,0,0.909829
Subject 1/ADL/05.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__05.npz,yolo,64,6,0.781174
Subject 1/ADL/06.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__06.npz,yolo,64,0,0.863728
Subject 1/ADL/07.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__07.npz,yolo,64,0,0.973598
Subject 1/ADL/08.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__08.npz,yolo,64,0,0.844250
Subject 1/ADL/09.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__09.npz,yolo,64,0,0.853399
Subject 1/ADL/10.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__10.npz,yolo,64,0,0.874294
Subject 1/ADL/11.mp4,0,1,gmdcsa24,fall_benchmark/data/poses/yolo_pose/gmdcsa24_t64/Subject_1__ADL__11.npz,yolo,64,0,0.921109
