path,video_path,subject,dataset,video_label,start_frame,end_frame,start_seconds,end_seconds,fall_onset_seconds,lead_seconds,y_1s,y_2s,y_3s,stage,pose_valid_ratio
dataset/dataset/chute01/cam1.avi#f0-63,dataset/dataset/chute01/cam1.avi,1,mcfd,1,0,63,0.000000,2.100000,9.025000,6.933333,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f16-79,dataset/dataset/chute01/cam1.avi,1,mcfd,1,16,79,0.533333,2.633333,9.025000,6.400000,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f32-95,dataset/dataset/chute01/cam1.avi,1,mcfd,1,32,95,1.066667,3.166667,9.025000,5.866667,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f48-111,dataset/dataset/chute01/cam1.avi,1,mcfd,1,48,111,1.600000,3.700000,9.025000,5.333333,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f64-127,dataset/dataset/chute01/cam1.avi,1,mcfd,1,64,127,2.133333,4.233333,9.025000,4.800000,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f80-143,dataset/dataset/chute01/cam1.avi,1,mcfd,1,80,143,2.666667,4.766667,9.025000,4.266667,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f96-159,dataset/dataset/chute01/cam1.avi,1,mcfd,1,96,159,3.200000,5.300000,9.025000,3.733333,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f112-175,dataset/dataset/chute01/cam1.avi,1,mcfd,1,112,175,3.733333,5.833333,9.025000,3.200000,0,0,0,EARLY_FALL_VIDEO,1.000000
dataset/dataset/chute01/cam1.avi#f128-191,dataset/dataset/chute01/cam1.avi,1,mcfd,1,128,191,4.266667,6.366667,9.025000,2.666667,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute01/cam1.avi#f144-207,dataset/dataset/chute01/cam1.avi,1,mcfd,1,144,207,4.800000,6.900000,9.025000,2.133333,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute01/cam1.avi#f160-223,dataset/dataset/chute01/cam1.avi,1,mcfd,1,160,223,5.333333,7.433333,9.025000,1.600000,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute01/cam1.avi#f176-239,dataset/dataset/chute01/cam1.avi,1,mcfd,1,176,239,5.866667,7.966667,9.025000,1.066667,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute01/cam1.avi#f192-255,dataset/dataset/chute01/cam1.avi,1,mcfd,1,192,255,6.400000,8.500000,9.025000,0.533333,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute02/cam1.avi#f0-63,dataset/dataset/chute02/cam1.avi,2,mcfd,1,0,63,0.000000,2.100000,3.333333,1.233333,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute02/cam1.avi#f16-79,dataset/dataset/chute02/cam1.avi,2,mcfd,1,16,79,0.533333,2.633333,3.333333,0.700000,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute02/cam1.avi#f32-95,dataset/dataset/chute02/cam1.avi,2,mcfd,1,32,95,1.066667,3.166667,3.333333,0.166667,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute03/cam1.avi#f0-63,dataset/dataset/chute03/cam1.avi,3,mcfd,1,0,63,0.000000,2.100000,5.025000,2.933333,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute03/cam1.avi#f16-79,dataset/dataset/chute03/cam1.avi,3,mcfd,1,16,79,0.533333,2.633333,5.025000,2.400000,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute03/cam1.avi#f32-95,dataset/dataset/chute03/cam1.avi,3,mcfd,1,32,95,1.066667,3.166667,5.025000,1.866667,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute03/cam1.avi#f48-111,dataset/dataset/chute03/cam1.avi,3,mcfd,1,48,111,1.600000,3.700000,5.025000,1.333333,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute03/cam1.avi#f64-127,dataset/dataset/chute03/cam1.avi,3,mcfd,1,64,127,2.133333,4.233333,5.025000,0.800000,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute03/cam1.avi#f80-143,dataset/dataset/chute03/cam1.avi,3,mcfd,1,80,143,2.666667,4.766667,5.025000,0.266667,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute04/cam1.avi#f0-63,dataset/dataset/chute04/cam1.avi,4,mcfd,1,0,63,0.000000,2.100000,3.000000,0.900000,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute04/cam1.avi#f16-79,dataset/dataset/chute04/cam1.avi,4,mcfd,1,16,79,0.533333,2.633333,3.000000,0.366667,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute05/cam1.avi#f0-63,dataset/dataset/chute05/cam1.avi,5,mcfd,1,0,63,0.000000,2.100000,2.716667,0.633333,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute05/cam1.avi#f16-79,dataset/dataset/chute05/cam1.avi,5,mcfd,1,16,79,0.533333,2.633333,2.716667,0.100000,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute06/cam1.avi#f0-63,dataset/dataset/chute06/cam1.avi,6,mcfd,1,0,63,0.000000,2.100000,4.858333,2.766667,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute06/cam1.avi#f16-79,dataset/dataset/chute06/cam1.avi,6,mcfd,1,16,79,0.533333,2.633333,4.858333,2.233333,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute06/cam1.avi#f32-95,dataset/dataset/chute06/cam1.avi,6,mcfd,1,32,95,1.066667,3.166667,4.858333,1.700000,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute06/cam1.avi#f48-111,dataset/dataset/chute06/cam1.avi,6,mcfd,1,48,111,1.600000,3.700000,4.858333,1.166667,0,1,1,PRE_FALL_1_2S,1.000000
dataset/dataset/chute06/cam1.avi#f64-127,dataset/dataset/chute06/cam1.avi,6,mcfd,1,64,127,2.133333,4.233333,4.858333,0.633333,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute06/cam1.avi#f80-143,dataset/dataset/chute06/cam1.avi,6,mcfd,1,80,143,2.666667,4.766667,4.858333,0.100000,1,1,1,PRE_FALL_0_1S,1.000000
dataset/dataset/chute07/cam1.avi#f0-63,dataset/dataset/chute07/cam1.avi,7,mcfd,1,0,63,0.000000,2.100000,4.200000,2.100000,0,0,1,PRE_FALL_2_3S,1.000000
dataset/dataset/chute07/cam1.avi#f16-79,dataset/dataset/chute07/cam1.avi,7,mcfd,1,16,79,0.533333,2.633333,4.200000,1.566667,0,1,1,PRE_FALL_1_2S,1.000000
