path,label,subject,dataset,scenario,cam,fall_onset_frame,fall_onset_seconds,fps,frames,duration_seconds
dataset/dataset/chute01/cam1.avi,1,1,mcfd,1,1,1083,9.025000,120.000000,1562,13.016667
dataset/dataset/chute02/cam1.avi,1,2,mcfd,2,1,400,3.333333,120.000000,831,6.925000
dataset/dataset/chute03/cam1.avi,1,3,mcfd,3,1,603,5.025000,120.000000,939,7.825000
dataset/dataset/chute04/cam1.avi,1,4,mcfd,4,1,360,3.000000,120.000000,1049,8.741667
dataset/dataset/chute05/cam1.avi,1,5,mcfd,5,1,326,2.716667,120.000000,767,6.391667
dataset/dataset/chute06/cam1.avi,1,6,mcfd,6,1,583,4.858333,120.000000,1256,10.466667
dataset/dataset/chute07/cam1.avi,1,7,mcfd,7,1,504,4.200000,120.000000,926,7.716667
dataset/dataset/chute08/cam1.avi,1,8,mcfd,8,1,363,3.025000,120.000000,713,5.941667
dataset/dataset/chute09/cam1.avi,1,9,mcfd,9,1,643,5.358333,120.000000,933,7.775000
dataset/dataset/chute10/cam1.avi,1,10,mcfd,10,1,520,4.333333,120.000000,943,7.858333
dataset/dataset/chute11/cam1.avi,1,11,mcfd,11,1,485,4.041667,120.000000,822,6.850000
dataset/dataset/chute12/cam1.avi,1,12,mcfd,12,1,621,5.175000,120.000000,937,7.808333
dataset/dataset/chute13/cam1.avi,1,13,mcfd,13,1,844,7.033333,120.000000,1206,10.050000
dataset/dataset/chute14/cam1.avi,1,14,mcfd,14,1,1040,8.666667,120.000000,1499,12.491667
dataset/dataset/chute15/cam1.avi,1,15,mcfd,15,1,770,6.416667,120.000000,1086,9.050000
dataset/dataset/chute16/cam1.avi,1,16,mcfd,16,1,919,7.658333,120.000000,1234,10.283333
dataset/dataset/chute17/cam1.avi,1,17,mcfd,17,1,756,6.300000,120.000000,1539,12.825000
dataset/dataset/chute18/cam1.avi,1,18,mcfd,18,1,670,5.583333,120.000000,1001,8.341667
dataset/dataset/chute19/cam1.avi,1,19,mcfd,19,1,519,4.325000,120.000000,1016,8.466667
dataset/dataset/chute20/cam1.avi,1,20,mcfd,20,1,570,4.750000,120.000000,1008,8.400000
dataset/dataset/chute21/cam1.avi,1,21,mcfd,21,1,888,7.400000,120.000000,1207,10.058333
dataset/dataset/chute22/cam1.avi,1,22,mcfd,22,1,772,6.433333,120.000000,1109,9.241667
dataset/dataset/chute23/cam1.avi,1,23,mcfd,23,1,1551,12.925000,120.000000,5381,44.841667
