path,label,start_frame,end_frame,scenario,cam,dataset,source_row,pose_path,backend,frames,zero_pose_frames,mean_confidence,source_frames,track_count,primary_track_id,primary_track_coverage
dataset/dataset/chute01/cam1.avi,0,1052,1082,1,1,mcfd,2,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1052_1082.npz,yolo_bytetrack,64,0,0.739611,1562,2,5,1.000000
dataset/dataset/chute01/cam1.avi,1,1083,1113,1,1,mcfd,3,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1083_1113.npz,yolo_bytetrack,64,25,0.405905,1562,1,5,0.612903
dataset/dataset/chute01/cam1.avi,0,1114,1144,1,1,mcfd,4,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam1__f1114_1144.npz,yolo_bytetrack,64,47,0.194049,1562,1,16,0.258065
dataset/dataset/chute01/cam2.avi,0,1052,1082,1,2,mcfd,5,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1052_1082.npz,yolo_bytetrack,64,10,0.576847,1562,1,58,0.838710
dataset/dataset/chute01/cam2.avi,1,1083,1113,1,2,mcfd,6,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1083_1113.npz,yolo_bytetrack,64,42,0.248271,1562,1,58,0.354839
dataset/dataset/chute01/cam2.avi,0,1114,1144,1,2,mcfd,7,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam2__f1114_1144.npz,yolo_bytetrack,64,18,0.488013,1562,2,65,0.709677
dataset/dataset/chute01/cam3.avi,0,1057,1087,1,3,mcfd,8,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1057_1087.npz,yolo_bytetrack,64,10,0.580792,1567,1,133,0.838710
dataset/dataset/chute01/cam3.avi,1,1088,1118,1,3,mcfd,9,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1088_1118.npz,yolo_bytetrack,64,50,0.152859,1567,1,133,0.225806
dataset/dataset/chute01/cam3.avi,0,1119,1149,1,3,mcfd,10,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam3__f1119_1149.npz,yolo_bytetrack,64,64,0.000000,1567,0,-1,0.000000
dataset/dataset/chute01/cam4.avi,0,1053,1083,1,4,mcfd,11,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam4__f1053_1083.npz,yolo_bytetrack,64,21,0.476474,1563,2,295,0.677419
dataset/dataset/chute01/cam4.avi,1,1084,1114,1,4,mcfd,12,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam4__f1084_1114.npz,yolo_bytetrack,64,56,0.093466,1563,2,295,0.129032
dataset/dataset/chute01/cam4.avi,0,1115,1145,1,4,mcfd,13,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam4__f1115_1145.npz,yolo_bytetrack,64,50,0.149263,1563,1,308,0.225806
dataset/dataset/chute01/cam5.avi,0,1072,1102,1,5,mcfd,14,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam5__f1072_1102.npz,yolo_bytetrack,64,0,0.798519,1582,2,441,1.000000
dataset/dataset/chute01/cam5.avi,1,1103,1133,1,5,mcfd,15,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam5__f1103_1133.npz,yolo_bytetrack,64,12,0.622741,1582,2,441,0.806452
dataset/dataset/chute01/cam5.avi,0,1134,1164,1,5,mcfd,16,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam5__f1134_1164.npz,yolo_bytetrack,64,31,0.352597,1582,2,441,0.516129
dataset/dataset/chute01/cam6.avi,0,1055,1085,1,6,mcfd,17,data/poses/yolo_bytetrack/mcfd_t64_c010/dataset__dataset__chute01__cam6__f1055_1085.npz,yolo_bytetrack,64,31,0.368471,1565,1,503,0.516129
