fold,window_path,video_path,subject,video_label,window_label,start_frame,end_frame,end_seconds,lead_seconds,probability,threshold,triggered,clip_end_seconds,clip_start_seconds,expected_review_positive
4,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM4.mp4#f832-895,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM4.mp4,4,0,0,832,895,29.833333,,0.4011629521846771,0.010496225208044052,True,32.333332999999996,27.833332999999996,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM6.mp4#f672-735,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM6.mp4,6,0,0,672,735,24.499998,,0.13032923638820648,0.07436475157737732,True,26.999998,22.499998,0
7,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM7.mp4#f0-63,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM7.mp4,7,0,0,0,63,2.1,,1.0,0.9757722616195679,True,4.6,0.09999999999999964,0
4,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM4.mp4#f1104-1167,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM4.mp4,4,0,0,1104,1167,38.9,,0.10764690488576889,0.010496225208044052,True,41.4,36.9,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM6.mp4#f656-719,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM6.mp4,6,0,0,656,719,23.966665,,0.26942145824432373,0.07436475157737732,True,26.466665,21.966665,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGFM6.mp4#f608-671,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGFM6.mp4,6,0,0,608,671,22.366667,,0.11064232140779495,0.07436475157737732,True,24.866667,20.366667,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGSM6.mp4#f576-639,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_nph/CGSM6.mp4,6,0,0,576,639,21.3,,0.08722836524248123,0.07436475157737732,True,23.8,19.3,0
1,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM1.mp4#f448-511,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM1.mp4,1,1,1,448,511,17.033332,0.700000,0.9690552353858948,0.4902987778186798,True,19.533332,15.033332000000001,1
2,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM2.mp4#f224-287,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM2.mp4,2,1,1,224,287,9.566667,0.333333,0.9842479228973389,0.3069245219230652,True,12.066667,7.566667000000001,1
3,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM3.mp4#f432-495,data/raw/PreVFall/v4_video_csv/Pre-VFall/dizziness_fall_forward/FDFFM3.mp4,3,1,1,432,495,16.5,0.400000,0.8392863869667053,0.2673068940639496,True,19.0,14.5,1
