fold,window_path,video_path,subject,video_label,window_label,start_frame,end_frame,end_seconds,lead_seconds,probability,threshold,triggered,clip_end_seconds,clip_start_seconds,expected_review_positive
3,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM3.mp4#f176-239,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM3.mp4,3,0,0,176,239,7.966667,,0.6120507121086121,0.3839940130710602,True,7.966667,3.966667,0
4,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM4.mp4#f768-831,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM4.mp4,4,0,0,768,831,27.7,,0.002969552529975772,0.002818172564730048,True,27.7,23.7,0
5,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM5.mp4#f64-127,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM5.mp4,5,0,0,64,127,4.233333,,0.30758538842201233,0.14103153347969055,True,4.233333,0.233333,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM6.mp4#f672-735,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM6.mp4,6,0,0,672,735,24.499998,,0.3129628598690033,0.19596992433071136,True,24.499998,20.499998,0
7,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM7.mp4#f0-63,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM7.mp4,7,0,0,0,63,2.1,,1.0,0.9319695830345154,True,2.1,0.0,0
9,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM9.mp4#f560-623,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLFM9.mp4,9,0,0,560,623,20.766665,,0.19381067156791687,0.19125054776668549,True,20.766665,16.766665,0
3,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM3.mp4#f32-95,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM3.mp4,3,0,0,32,95,3.166666,,0.4851441979408264,0.3839940130710602,True,3.166666,0.0,0
4,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM4.mp4#f832-895,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM4.mp4,4,0,0,832,895,29.833333,,0.031534966081380844,0.002818172564730048,True,29.833333,25.833333,0
6,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM6.mp4#f656-719,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM6.mp4,6,0,0,656,719,23.966665,,0.5741197466850281,0.19596992433071136,True,23.966665,19.966665,0
7,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM7.mp4#f1120-1183,data/raw/PreVFall/v4_video_csv/Pre-VFall/confusion_delirium/CLSM7.mp4,7,0,0,1120,1183,39.433333,,0.9873269200325012,0.9319695830345154,True,39.433333,35.433333,0
