path,subject,y_1s,y_2s,y_3s
Subject 1/ADL/01.mp4#f0-63,1,0,0,0
Subject 1/ADL/01.mp4#f16-79,1,0,0,0
Subject 1/ADL/01.mp4#f32-95,1,0,0,0
Subject 1/ADL/01.mp4#f48-111,1,0,0,0
Subject 1/ADL/01.mp4#f64-127,1,0,0,0
Subject 1/ADL/01.mp4#f80-143,1,0,0,0
Subject 1/ADL/01.mp4#f96-159,1,0,0,0
Subject 1/ADL/01.mp4#f112-175,1,0,0,0
Subject 1/ADL/01.mp4#f128-191,1,0,0,0
Subject 1/ADL/01.mp4#f144-207,1,0,0,0
Subject 1/ADL/01.mp4#f160-223,1,0,0,0
Subject 1/ADL/01.mp4#f176-239,1,0,0,0
Subject 1/ADL/02.mp4#f0-63,1,0,0,0
Subject 1/ADL/02.mp4#f16-79,1,0,0,0
Subject 1/ADL/02.mp4#f32-95,1,0,0,0
Subject 1/ADL/02.mp4#f48-111,1,0,0,0
Subject 1/ADL/02.mp4#f64-127,1,0,0,0
Subject 1/ADL/02.mp4#f80-143,1,0,0,0
Subject 1/ADL/02.mp4#f96-159,1,0,0,0
Subject 1/ADL/02.mp4#f112-175,1,0,0,0
Subject 1/ADL/02.mp4#f128-191,1,0,0,0
Subject 1/ADL/03.mp4#f0-63,1,0,0,0
Subject 1/ADL/03.mp4#f16-79,1,0,0,0
Subject 1/ADL/03.mp4#f32-95,1,0,0,0
Subject 1/ADL/03.mp4#f48-111,1,0,0,0
Subject 1/ADL/03.mp4#f64-127,1,0,0,0
Subject 1/ADL/03.mp4#f80-143,1,0,0,0
Subject 1/ADL/03.mp4#f96-159,1,0,0,0
Subject 1/ADL/03.mp4#f112-175,1,0,0,0
Subject 1/ADL/03.mp4#f128-191,1,0,0,0
Subject 1/ADL/04.mp4#f0-63,1,0,0,0
Subject 1/ADL/04.mp4#f16-79,1,0,0,0
Subject 1/ADL/04.mp4#f32-95,1,0,0,0
Subject 1/ADL/04.mp4#f48-111,1,0,0,0
Subject 1/ADL/04.mp4#f64-127,1,0,0,0
Subject 1/ADL/04.mp4#f80-143,1,0,0,0
Subject 1/ADL/04.mp4#f96-159,1,0,0,0
Subject 1/ADL/05.mp4#f0-63,1,0,0,0
