path,label,start_frame,end_frame,scenario,cam,dataset,source_row
dataset/dataset/chute01/cam4.avi,0,1053,1083,1,4,mcfd,11
dataset/dataset/chute01/cam4.avi,1,1084,1114,1,4,mcfd,12
dataset/dataset/chute01/cam4.avi,0,1115,1145,1,4,mcfd,13
dataset/dataset/chute02/cam4.avi,0,360,390,2,4,mcfd,35
dataset/dataset/chute02/cam4.avi,1,391,421,2,4,mcfd,36
dataset/dataset/chute02/cam4.avi,0,421,451,2,4,mcfd,37
dataset/dataset/chute03/cam4.avi,0,576,606,3,4,mcfd,56
dataset/dataset/chute03/cam4.avi,1,607,637,3,4,mcfd,57
dataset/dataset/chute04/cam4.avi,0,257,287,4,4,mcfd,81
dataset/dataset/chute04/cam4.avi,1,288,318,4,4,mcfd,82
dataset/dataset/chute04/cam4.avi,0,319,349,4,4,mcfd,83
dataset/dataset/chute04/cam4.avi,1,604,634,4,4,mcfd,84
dataset/dataset/chute04/cam4.avi,0,635,665,4,4,mcfd,85
dataset/dataset/chute05/cam4.avi,1,320,350,5,4,mcfd,112
dataset/dataset/chute05/cam4.avi,0,351,381,5,4,mcfd,113
dataset/dataset/chute06/cam4.avi,0,622,652,6,4,mcfd,134
dataset/dataset/chute06/cam4.avi,1,673,703,6,4,mcfd,135
dataset/dataset/chute06/cam4.avi,1,693,723,6,4,mcfd,136
dataset/dataset/chute06/cam4.avi,0,730,760,6,4,mcfd,137
dataset/dataset/chute07/cam4.avi,0,445,475,7,4,mcfd,160
dataset/dataset/chute07/cam4.avi,1,476,506,7,4,mcfd,161
dataset/dataset/chute08/cam4.avi,0,321,351,8,4,mcfd,176
dataset/dataset/chute08/cam4.avi,1,352,382,8,4,mcfd,177
dataset/dataset/chute09/cam4.avi,0,612,642,9,4,mcfd,195
dataset/dataset/chute09/cam4.avi,1,643,673,9,4,mcfd,196
dataset/dataset/chute09/cam4.avi,0,674,704,9,4,mcfd,197
dataset/dataset/chute10/cam4.avi,0,518,548,10,4,mcfd,219
dataset/dataset/chute10/cam4.avi,1,539,569,10,4,mcfd,220
dataset/dataset/chute10/cam4.avi,0,570,600,10,4,mcfd,221
dataset/dataset/chute11/cam4.avi,0,445,475,11,4,mcfd,243
dataset/dataset/chute11/cam4.avi,1,476,506,11,4,mcfd,244
dataset/dataset/chute11/cam4.avi,0,507,537,11,4,mcfd,245
dataset/dataset/chute12/cam4.avi,0,577,607,12,4,mcfd,267
dataset/dataset/chute12/cam4.avi,1,608,638,12,4,mcfd,268
dataset/dataset/chute12/cam4.avi,1,636,666,12,4,mcfd,269
dataset/dataset/chute13/cam4.avi,0,694,724,13,4,mcfd,288
dataset/dataset/chute13/cam4.avi,1,835,865,13,4,mcfd,289
dataset/dataset/chute14/cam4.avi,1,991,1021,14,4,mcfd,304
dataset/dataset/chute14/cam4.avi,0,1022,1052,14,4,mcfd,305
dataset/dataset/chute15/cam4.avi,0,739,769,15,4,mcfd,320
dataset/dataset/chute15/cam4.avi,1,770,800,15,4,mcfd,321
dataset/dataset/chute16/cam4.avi,0,382,412,16,4,mcfd,339
dataset/dataset/chute16/cam4.avi,0,820,850,16,4,mcfd,340
dataset/dataset/chute16/cam4.avi,1,898,928,16,4,mcfd,341
dataset/dataset/chute17/cam4.avi,0,341,371,17,4,mcfd,360
dataset/dataset/chute17/cam4.avi,1,735,765,17,4,mcfd,361
dataset/dataset/chute18/cam4.avi,0,530,560,18,4,mcfd,376
dataset/dataset/chute18/cam4.avi,1,571,601,18,4,mcfd,377
dataset/dataset/chute19/cam4.avi,0,439,469,19,4,mcfd,401
dataset/dataset/chute19/cam4.avi,0,487,517,19,4,mcfd,402
dataset/dataset/chute19/cam4.avi,1,519,549,19,4,mcfd,403
dataset/dataset/chute19/cam4.avi,1,549,579,19,4,mcfd,404
dataset/dataset/chute19/cam4.avi,1,579,609,19,4,mcfd,405
dataset/dataset/chute20/cam4.avi,0,360,390,20,4,mcfd,444
dataset/dataset/chute20/cam4.avi,0,410,440,20,4,mcfd,445
dataset/dataset/chute20/cam4.avi,1,555,585,20,4,mcfd,446
dataset/dataset/chute20/cam4.avi,1,585,615,20,4,mcfd,447
dataset/dataset/chute20/cam4.avi,1,615,645,20,4,mcfd,448
dataset/dataset/chute20/cam4.avi,1,645,675,20,4,mcfd,449
dataset/dataset/chute21/cam4.avi,0,538,568,21,4,mcfd,480
dataset/dataset/chute21/cam4.avi,1,868,898,21,4,mcfd,481
dataset/dataset/chute22/cam4.avi,0,777,807,22,4,mcfd,496
dataset/dataset/chute22/cam4.avi,1,813,843,22,4,mcfd,497
dataset/dataset/chute23/cam4.avi,0,708,738,23,4,mcfd,524
dataset/dataset/chute23/cam4.avi,1,1565,1595,23,4,mcfd,525
dataset/dataset/chute23/cam4.avi,1,1595,1625,23,4,mcfd,526
dataset/dataset/chute23/cam4.avi,0,1707,1737,23,4,mcfd,527
dataset/dataset/chute23/cam4.avi,1,3619,3649,23,4,mcfd,528
dataset/dataset/chute23/cam4.avi,0,4151,4181,23,4,mcfd,529
