path,label,start_frame,end_frame,scenario,cam,dataset,source_row
dataset/dataset/chute01/cam3.avi,0,1057,1087,1,3,mcfd,8
dataset/dataset/chute01/cam3.avi,1,1088,1118,1,3,mcfd,9
dataset/dataset/chute01/cam3.avi,0,1119,1149,1,3,mcfd,10
dataset/dataset/chute02/cam3.avi,0,344,374,2,3,mcfd,32
dataset/dataset/chute02/cam3.avi,1,375,405,2,3,mcfd,33
dataset/dataset/chute02/cam3.avi,0,405,435,2,3,mcfd,34
dataset/dataset/chute03/cam3.avi,0,568,598,3,3,mcfd,54
dataset/dataset/chute03/cam3.avi,1,599,629,3,3,mcfd,55
dataset/dataset/chute04/cam3.avi,0,335,365,4,3,mcfd,76
dataset/dataset/chute04/cam3.avi,1,366,396,4,3,mcfd,77
dataset/dataset/chute04/cam3.avi,0,397,427,4,3,mcfd,78
dataset/dataset/chute04/cam3.avi,1,682,712,4,3,mcfd,79
dataset/dataset/chute04/cam3.avi,0,713,743,4,3,mcfd,80
dataset/dataset/chute05/cam3.avi,1,314,344,5,3,mcfd,110
dataset/dataset/chute05/cam3.avi,0,345,375,5,3,mcfd,111
dataset/dataset/chute06/cam3.avi,0,638,668,6,3,mcfd,130
dataset/dataset/chute06/cam3.avi,1,689,719,6,3,mcfd,131
dataset/dataset/chute06/cam3.avi,1,709,739,6,3,mcfd,132
dataset/dataset/chute06/cam3.avi,0,746,776,6,3,mcfd,133
dataset/dataset/chute07/cam3.avi,0,460,490,7,3,mcfd,158
dataset/dataset/chute07/cam3.avi,1,491,521,7,3,mcfd,159
dataset/dataset/chute08/cam3.avi,0,240,270,8,3,mcfd,174
dataset/dataset/chute08/cam3.avi,1,271,301,8,3,mcfd,175
dataset/dataset/chute09/cam3.avi,0,594,624,9,3,mcfd,192
dataset/dataset/chute09/cam3.avi,1,625,655,9,3,mcfd,193
dataset/dataset/chute09/cam3.avi,0,656,686,9,3,mcfd,194
dataset/dataset/chute10/cam3.avi,0,504,534,10,3,mcfd,216
dataset/dataset/chute10/cam3.avi,1,525,555,10,3,mcfd,217
dataset/dataset/chute10/cam3.avi,0,556,586,10,3,mcfd,218
dataset/dataset/chute11/cam3.avi,0,451,481,11,3,mcfd,240
dataset/dataset/chute11/cam3.avi,1,482,512,11,3,mcfd,241
dataset/dataset/chute11/cam3.avi,0,513,543,11,3,mcfd,242
dataset/dataset/chute12/cam3.avi,0,582,612,12,3,mcfd,264
dataset/dataset/chute12/cam3.avi,1,613,643,12,3,mcfd,265
dataset/dataset/chute12/cam3.avi,1,641,671,12,3,mcfd,266
dataset/dataset/chute13/cam3.avi,0,687,717,13,3,mcfd,286
dataset/dataset/chute13/cam3.avi,1,828,858,13,3,mcfd,287
dataset/dataset/chute14/cam3.avi,1,1029,1059,14,3,mcfd,302
dataset/dataset/chute14/cam3.avi,0,1060,1090,14,3,mcfd,303
dataset/dataset/chute15/cam3.avi,0,743,773,15,3,mcfd,318
dataset/dataset/chute15/cam3.avi,1,774,804,15,3,mcfd,319
dataset/dataset/chute16/cam3.avi,0,380,410,16,3,mcfd,336
dataset/dataset/chute16/cam3.avi,0,818,848,16,3,mcfd,337
dataset/dataset/chute16/cam3.avi,1,896,926,16,3,mcfd,338
dataset/dataset/chute17/cam3.avi,0,356,386,17,3,mcfd,358
dataset/dataset/chute17/cam3.avi,1,750,780,17,3,mcfd,359
dataset/dataset/chute18/cam3.avi,0,615,645,18,3,mcfd,374
dataset/dataset/chute18/cam3.avi,1,656,686,18,3,mcfd,375
dataset/dataset/chute19/cam3.avi,0,436,466,19,3,mcfd,396
dataset/dataset/chute19/cam3.avi,0,484,514,19,3,mcfd,397
dataset/dataset/chute19/cam3.avi,1,516,546,19,3,mcfd,398
dataset/dataset/chute19/cam3.avi,1,546,576,19,3,mcfd,399
dataset/dataset/chute19/cam3.avi,1,576,606,19,3,mcfd,400
dataset/dataset/chute20/cam3.avi,0,350,380,20,3,mcfd,438
dataset/dataset/chute20/cam3.avi,0,400,430,20,3,mcfd,439
dataset/dataset/chute20/cam3.avi,1,545,575,20,3,mcfd,440
dataset/dataset/chute20/cam3.avi,1,575,605,20,3,mcfd,441
dataset/dataset/chute20/cam3.avi,1,605,635,20,3,mcfd,442
dataset/dataset/chute20/cam3.avi,1,635,665,20,3,mcfd,443
dataset/dataset/chute21/cam3.avi,0,560,590,21,3,mcfd,478
dataset/dataset/chute21/cam3.avi,1,890,920,21,3,mcfd,479
dataset/dataset/chute22/cam3.avi,0,787,817,22,3,mcfd,494
dataset/dataset/chute22/cam3.avi,1,823,853,22,3,mcfd,495
dataset/dataset/chute23/cam3.avi,0,715,745,23,3,mcfd,518
dataset/dataset/chute23/cam3.avi,1,1602,1632,23,3,mcfd,520
dataset/dataset/chute23/cam3.avi,0,1714,1744,23,3,mcfd,521
dataset/dataset/chute23/cam3.avi,1,3626,3656,23,3,mcfd,522
dataset/dataset/chute23/cam3.avi,0,4158,4188,23,3,mcfd,523
