path,subject,y_1s,y_2s,y_3s
dataset/dataset/chute02/cam1.avi#f0-63,2,0,1,1
dataset/dataset/chute02/cam1.avi#f16-79,2,1,1,1
dataset/dataset/chute02/cam1.avi#f32-95,2,1,1,1
dataset/dataset/chute05/cam1.avi#f0-63,5,1,1,1
dataset/dataset/chute05/cam1.avi#f16-79,5,1,1,1
dataset/dataset/chute06/cam1.avi#f0-63,6,0,0,1
dataset/dataset/chute06/cam1.avi#f16-79,6,0,0,1
dataset/dataset/chute06/cam1.avi#f32-95,6,0,1,1
dataset/dataset/chute06/cam1.avi#f48-111,6,0,1,1
dataset/dataset/chute06/cam1.avi#f64-127,6,1,1,1
dataset/dataset/chute06/cam1.avi#f80-143,6,1,1,1
dataset/dataset/chute09/cam1.avi#f0-63,9,0,0,0
dataset/dataset/chute09/cam1.avi#f16-79,9,0,0,1
dataset/dataset/chute09/cam1.avi#f32-95,9,0,0,1
dataset/dataset/chute09/cam1.avi#f48-111,9,0,1,1
dataset/dataset/chute09/cam1.avi#f64-127,9,0,1,1
dataset/dataset/chute09/cam1.avi#f80-143,9,1,1,1
dataset/dataset/chute09/cam1.avi#f96-159,9,1,1,1
dataset/dataset/chute11/cam1.avi#f0-63,11,0,1,1
dataset/dataset/chute11/cam1.avi#f16-79,11,0,1,1
dataset/dataset/chute11/cam1.avi#f32-95,11,1,1,1
dataset/dataset/chute11/cam1.avi#f48-111,11,1,1,1
dataset/dataset/chute12/cam1.avi#f0-63,12,0,0,0
dataset/dataset/chute12/cam1.avi#f16-79,12,0,0,1
dataset/dataset/chute12/cam1.avi#f32-95,12,0,1,1
dataset/dataset/chute12/cam1.avi#f48-111,12,0,1,1
dataset/dataset/chute12/cam1.avi#f64-127,12,1,1,1
dataset/dataset/chute12/cam1.avi#f80-143,12,1,1,1
dataset/dataset/chute15/cam1.avi#f0-63,15,0,0,0
dataset/dataset/chute15/cam1.avi#f16-79,15,0,0,0
dataset/dataset/chute15/cam1.avi#f32-95,15,0,0,0
dataset/dataset/chute15/cam1.avi#f48-111,15,0,0,1
dataset/dataset/chute15/cam1.avi#f64-127,15,0,0,1
dataset/dataset/chute15/cam1.avi#f80-143,15,0,1,1
dataset/dataset/chute15/cam1.avi#f96-159,15,0,1,1
dataset/dataset/chute15/cam1.avi#f112-175,15,1,1,1
dataset/dataset/chute15/cam1.avi#f128-191,15,1,1,1
dataset/dataset/chute16/cam1.avi#f0-63,16,0,0,0
dataset/dataset/chute16/cam1.avi#f16-79,16,0,0,0
dataset/dataset/chute16/cam1.avi#f32-95,16,0,0,0
dataset/dataset/chute16/cam1.avi#f48-111,16,0,0,0
dataset/dataset/chute16/cam1.avi#f64-127,16,0,0,0
dataset/dataset/chute16/cam1.avi#f80-143,16,0,0,1
dataset/dataset/chute16/cam1.avi#f96-159,16,0,0,1
dataset/dataset/chute16/cam1.avi#f112-175,16,0,1,1
dataset/dataset/chute16/cam1.avi#f128-191,16,0,1,1
dataset/dataset/chute16/cam1.avi#f144-207,16,1,1,1
dataset/dataset/chute16/cam1.avi#f160-223,16,1,1,1
dataset/dataset/chute19/cam1.avi#f0-63,19,0,0,1
dataset/dataset/chute19/cam1.avi#f16-79,19,0,1,1
dataset/dataset/chute19/cam1.avi#f32-95,19,0,1,1
dataset/dataset/chute19/cam1.avi#f48-111,19,1,1,1
dataset/dataset/chute19/cam1.avi#f64-127,19,1,1,1
dataset/dataset/chute22/cam1.avi#f0-63,22,0,0,0
dataset/dataset/chute22/cam1.avi#f16-79,22,0,0,0
dataset/dataset/chute22/cam1.avi#f32-95,22,0,0,0
dataset/dataset/chute22/cam1.avi#f48-111,22,0,0,1
dataset/dataset/chute22/cam1.avi#f64-127,22,0,0,1
dataset/dataset/chute22/cam1.avi#f80-143,22,0,1,1
dataset/dataset/chute22/cam1.avi#f96-159,22,0,1,1
dataset/dataset/chute22/cam1.avi#f112-175,22,1,1,1
dataset/dataset/chute22/cam1.avi#f128-191,22,1,1,1
dataset/dataset/chute23/cam1.avi#f0-63,23,0,0,0
dataset/dataset/chute23/cam1.avi#f16-79,23,0,0,0
dataset/dataset/chute23/cam1.avi#f32-95,23,0,0,0
dataset/dataset/chute23/cam1.avi#f48-111,23,0,0,0
dataset/dataset/chute23/cam1.avi#f64-127,23,0,0,0
dataset/dataset/chute23/cam1.avi#f80-143,23,0,0,0
dataset/dataset/chute23/cam1.avi#f96-159,23,0,0,0
dataset/dataset/chute23/cam1.avi#f112-175,23,0,0,0
dataset/dataset/chute23/cam1.avi#f128-191,23,0,0,0
dataset/dataset/chute23/cam1.avi#f144-207,23,0,0,0
dataset/dataset/chute23/cam1.avi#f160-223,23,0,0,0
dataset/dataset/chute23/cam1.avi#f176-239,23,0,0,0
dataset/dataset/chute23/cam1.avi#f192-255,23,0,0,0
dataset/dataset/chute23/cam1.avi#f208-271,23,0,0,0
dataset/dataset/chute23/cam1.avi#f224-287,23,0,0,0
dataset/dataset/chute23/cam1.avi#f240-303,23,0,0,1
dataset/dataset/chute23/cam1.avi#f256-319,23,0,0,1
dataset/dataset/chute23/cam1.avi#f272-335,23,0,1,1
dataset/dataset/chute23/cam1.avi#f288-351,23,0,1,1
dataset/dataset/chute23/cam1.avi#f304-367,23,1,1,1
dataset/dataset/chute23/cam1.avi#f320-383,23,1,1,1
