path,label,start,end,subject,cam,dataset
Subject1/Activity1/Trial1/Subject1Activity1Trial1Camera1,8,0.0,2.89409,1,1,up_fall
Subject1/Activity1/Trial2/Subject1Activity1Trial2Camera1,8,0.0,0.49556,1,1,up_fall
Subject1/Activity1/Trial3/Subject1Activity1Trial3Camera1,8,0.0,0.49794,1,1,up_fall
Subject1/Activity11/Trial1/Subject1Activity11Trial1Camera1,6,0.0,59.927987,1,1,up_fall
Subject1/Activity11/Trial2/Subject1Activity11Trial2Camera1,6,0.0,59.836073,1,1,up_fall
Subject1/Activity11/Trial3/Subject1Activity11Trial3Camera1,6,0.0,59.937114,1,1,up_fall
Subject1/Activity2/Trial1/Subject1Activity2Trial1Camera1,8,0.0,0.52242,1,1,up_fall
Subject1/Activity2/Trial2/Subject1Activity2Trial2Camera1,8,0.0,0.52651,1,1,up_fall
Subject1/Activity2/Trial3/Subject1Activity2Trial3Camera1,8,0.0,0.61006,1,1,up_fall
Subject1/Activity3/Trial1/Subject1Activity3Trial1Camera1,8,0.0,0.74399,1,1,up_fall
Subject1/Activity3/Trial2/Subject1Activity3Trial2Camera1,8,0.0,0.73254,1,1,up_fall
Subject1/Activity3/Trial3/Subject1Activity3Trial3Camera1,8,0.0,0.48611,1,1,up_fall
Subject1/Activity4/Trial1/Subject1Activity4Trial1Camera1,8,0.0,0.42392,1,1,up_fall
Subject1/Activity4/Trial2/Subject1Activity4Trial2Camera1,8,0.0,0.60365,1,1,up_fall
Subject1/Activity4/Trial3/Subject1Activity4Trial3Camera1,8,0.0,0.57105,1,1,up_fall
Subject1/Activity5/Trial1/Subject1Activity5Trial1Camera1,8,0.0,0.42178,1,1,up_fall
Subject1/Activity5/Trial2/Subject1Activity5Trial2Camera1,8,0.0,0.33636,1,1,up_fall
Subject1/Activity10/Trial1/Subject1Activity10Trial1Camera1,8,0.0,0.58,1,1,up_fall
Subject1/Activity10/Trial2/Subject1Activity10Trial2Camera1,8,0.0,0.38,1,1,up_fall
Subject1/Activity10/Trial3/Subject1Activity10Trial3Camera1,8,0.0,0.36,1,1,up_fall
