run,fold,best_epoch,mean_balanced_accuracy,mean_f1,mean_pr_auc
20 epochs (batch 32),1,10,0.9530577562265868,0.8501524390243902,0.9835505726296822
20 epochs (batch 32),2,7,0.9456882243120198,0.725447162656465,0.9402564875394619
20 epochs (batch 32),3,6,0.7776560599252195,0.5117882312027575,0.7474128289081907
20 epochs (batch 32),4,4,0.9373334191512179,0.41453448837298396,0.9387119748210734
20 epochs (batch 32),5,1,0.8629632155472979,0.5485801918218044,0.6158261207893343
20 epochs (batch 32),6,9,0.8857006188494644,0.6189010989010989,0.8615942795669685
20 epochs (batch 32),7,20,0.8051105984357522,0.641902567001493,0.6153210333010745
20 epochs (batch 32),8,14,0.9723094828875579,0.7862433862433863,0.959453584697175
20 epochs (batch 32),9,4,0.9150150124402409,0.7862616356848192,0.9254910575574785
300 epochs (batch 128),1,4,0.9460545553499164,0.8161954915003694,0.9588313583738893
300 epochs (batch 128),2,33,0.8679181549891655,0.792506105006105,0.922565042815554
300 epochs (batch 128),3,159,0.8063818739980659,0.5379224152718897,0.7114551262429164
300 epochs (batch 128),4,85,0.9728467685656291,0.5817170980826228,0.9763791211805156
300 epochs (batch 128),5,18,0.8511301937940964,0.5102170245596938,0.6656102768679357
300 epochs (batch 128),6,8,0.8884764427446905,0.5921474358974358,0.847901171835192
300 epochs (batch 128),7,4,0.7495152130879389,0.5387055208643076,0.5265854940838662
300 epochs (batch 128),8,43,0.9393656374790722,0.8045045045045045,0.9355414772388011
300 epochs (batch 128),9,56,0.9279559058364759,0.8388725008194035,0.9375458735877903
