route,sample,label,probability,baseline_prediction,pose_valid_ratio,quality_decision,baseline_correct,quality_reasons
RTMPose+ST-GCN++,dataset/dataset/chute01/cam2.avi#f1052-1082,0,0.98763570,1,0.859375,FALL,0,"{""implausible_bone"": 9, ""target_jump"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam2.avi#f1083-1113,1,0.99630912,1,0.515625,FALL,1,"{""implausible_bone"": 23, ""target_jump"": 8, ""too_few_joints"": 6, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam2.avi#f1114-1144,0,0.62495641,1,0.875000,FALL,0,"{""too_few_joints"": 8, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam4.avi#f1053-1083,0,0.12470352,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam4.avi#f1084-1114,1,0.99949428,1,0.453125,UNKNOWN,1,"{""implausible_bone"": 13, ""target_jump"": 21, ""too_few_joints"": 6, ""torso_missing"": 25}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam4.avi#f1115-1145,0,0.99990170,1,0.218750,UNKNOWN,0,"{""implausible_bone"": 18, ""target_jump"": 2, ""too_few_joints"": 27, ""torso_missing"": 44}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam5.avi#f1072-1102,0,0.23048194,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam5.avi#f1103-1133,1,0.51925809,1,0.968750,FALL,1,"{""implausible_bone"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam5.avi#f1134-1164,0,0.59265771,1,1.000000,FALL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam6.avi#f1055-1085,0,0.22925406,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam6.avi#f1086-1116,1,0.98049666,1,0.968750,FALL,1,"{""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam6.avi#f1117-1147,0,0.83534187,1,0.968750,FALL,0,"{""target_jump"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam7.avi#f1055-1085,0,0.44693834,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam7.avi#f1086-1116,1,0.92153034,1,1.000000,FALL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam7.avi#f1117-1147,0,0.26967623,0,0.968750,ADL,1,"{""too_few_joints"": 2, ""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam8.avi#f1049-1079,0,0.21754721,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute01/cam8.avi#f1080-1110,1,0.46818174,0,0.968750,ADL,0,"{""torso_missing"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute01/cam8.avi#f1111-1141,0,0.99999484,1,0.078125,UNKNOWN,0,"{""implausible_bone"": 15, ""target_jump"": 33, ""too_few_joints"": 8, ""torso_missing"": 59}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam2.avi#f384-414,0,0.20945746,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam2.avi#f415-445,1,0.89525506,1,0.609375,FALL,1,"{""target_jump"": 13, ""too_few_joints"": 6, ""torso_missing"": 25}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam2.avi#f445-475,0,0.94306397,1,0.187500,UNKNOWN,0,"{""target_jump"": 11, ""too_few_joints"": 39, ""torso_missing"": 52}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam4.avi#f360-390,0,0.13754842,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam4.avi#f391-421,1,0.97856756,1,0.781250,FALL,1,"{""implausible_bone"": 2, ""target_jump"": 8, ""too_few_joints"": 2, ""torso_missing"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam4.avi#f421-451,0,0.99973013,1,0.046875,UNKNOWN,0,"{""implausible_bone"": 16, ""target_jump"": 27, ""too_few_joints"": 10, ""torso_missing"": 43}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam5.avi#f362-392,0,0.24562756,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam5.avi#f393-423,1,0.98318912,1,0.703125,FALL,1,"{""implausible_bone"": 7, ""target_jump"": 4, ""too_few_joints"": 4, ""torso_missing"": 15}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam5.avi#f423-453,0,0.99790953,1,0.250000,UNKNOWN,0,"{""implausible_bone"": 18, ""target_jump"": 23, ""too_few_joints"": 4, ""torso_missing"": 40}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam6.avi#f377-407,0,0.07760101,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam6.avi#f408-438,1,0.23467147,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam6.avi#f438-468,0,0.42973545,0,0.968750,ADL,1,"{""target_jump"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam7.avi#f377-407,0,0.60456555,1,0.937500,FALL,0,"{""implausible_bone"": 2, ""target_jump"": 4, ""torso_missing"": 4}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam7.avi#f408-438,1,0.48792724,0,0.875000,ADL,0,"{""implausible_bone"": 2, ""target_jump"": 2, ""too_few_joints"": 4, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam7.avi#f438-468,0,0.94223924,1,0.703125,FALL,0,"{""implausible_bone"": 9, ""target_jump"": 6, ""too_few_joints"": 5, ""torso_missing"": 19}"
RTMPose+ST-GCN++,dataset/dataset/chute02/cam8.avi#f350-380,0,0.22043511,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam8.avi#f381-411,1,0.66030509,1,1.000000,FALL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute02/cam8.avi#f411-441,0,0.97855407,1,0.093750,UNKNOWN,0,"{""target_jump"": 20, ""too_few_joints"": 36, ""torso_missing"": 58}"
RTMPose+ST-GCN++,dataset/dataset/chute03/cam2.avi#f576-606,0,0.14396752,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam2.avi#f607-637,1,0.37238089,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam4.avi#f576-606,0,0.18847513,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam4.avi#f607-637,1,0.99105081,1,0.781250,FALL,1,"{""target_jump"": 10, ""too_few_joints"": 2, ""torso_missing"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute03/cam5.avi#f595-625,0,0.14856441,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam5.avi#f626-656,1,0.22426825,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam6.avi#f580-610,0,0.23319185,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam6.avi#f611-641,1,0.89116776,1,0.875000,FALL,1,"{""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute03/cam7.avi#f580-610,0,0.31366683,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam7.avi#f611-641,1,0.80252346,1,0.906250,FALL,1,"{""target_jump"": 6, ""torso_missing"": 6}"
RTMPose+ST-GCN++,dataset/dataset/chute03/cam8.avi#f560-590,0,0.13846416,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute03/cam8.avi#f591-621,1,0.29210440,0,1.000000,ADL,0,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam2.avi#f336-366,0,0.12398091,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam2.avi#f367-397,1,0.91598822,1,0.875000,FALL,1,"{""too_few_joints"": 8, ""torso_missing"": 8}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam2.avi#f398-428,0,0.97487426,1,0.093750,UNKNOWN,0,"{""implausible_bone"": 9, ""target_jump"": 52, ""too_few_joints"": 6, ""torso_missing"": 58}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam2.avi#f683-713,1,0.98987529,1,0.906250,FALL,1,"{""implausible_bone"": 4, ""target_jump"": 2}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam2.avi#f714-744,0,0.97144017,1,0.812500,FALL,0,"{""implausible_bone"": 12}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam4.avi#f257-287,0,0.12342257,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam4.avi#f288-318,1,0.93060358,1,0.812500,FALL,1,"{""implausible_bone"": 4, ""target_jump"": 6, ""too_few_joints"": 4, ""torso_missing"": 10}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam4.avi#f319-349,0,1.00000000,1,0.125000,UNKNOWN,0,"{""implausible_bone"": 12, ""target_jump"": 8, ""too_few_joints"": 13, ""torso_missing"": 56}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam4.avi#f604-634,1,0.98985602,1,0.828125,FALL,1,"{""implausible_bone"": 7, ""target_jump"": 4, ""torso_missing"": 11}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam4.avi#f635-665,0,0.99240203,1,0.078125,UNKNOWN,0,"{""implausible_bone"": 16, ""too_few_joints"": 16, ""torso_missing"": 51}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam5.avi#f325-355,0,0.20973375,0,1.000000,ADL,1,{}
RTMPose+ST-GCN++,dataset/dataset/chute04/cam5.avi#f356-386,1,0.99066527,1,0.609375,FALL,1,"{""implausible_bone"": 14, ""target_jump"": 2, ""torso_missing"": 25}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam5.avi#f387-417,0,0.96315192,1,0.062500,UNKNOWN,0,"{""implausible_bone"": 31, ""target_jump"": 5, ""torso_missing"": 58}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam5.avi#f672-702,1,0.99937375,1,0.484375,UNKNOWN,1,"{""implausible_bone"": 31, ""target_jump"": 4, ""torso_missing"": 23}"
RTMPose+ST-GCN++,dataset/dataset/chute04/cam5.avi#f703-733,0,0.99985869,1,0.093750,UNKNOWN,0,"{""implausible_bone"": 45, ""target_jump"": 23, ""torso_missing"": 34}"
