route,family,accuracy,precision,recall,specificity,f1,balanced_accuracy,additional_video_ms,note
YOLO-Pose + ByteTrack + ST-GCN++ + Qwen safety union,Qwen fusion,0.9,0.8705882352941177,0.9367088607594937,0.8641975308641975,0.9024390243902438,0.9004531958118456,4890.013939370692,fixed OR rule; recovers one additional fall without new false positive
yolo_bytetrack+stgcnpp,300-epoch skeleton baseline,0.89375,0.8690476190476191,0.9240506329113924,0.8641975308641975,0.8957055214723927,0.8941240818877949,0.0,classifier 12.88 ms; pose frontend excluded
YOLO-Pose + ByteTrack + ST-GCN++ + Qwen weighted fusion,Qwen fusion,0.89375,0.8690476190476191,0.9240506329113924,0.8641975308641975,0.8957055214723927,0.8941240818877949,4890.013939370692,validation selected skeleton only in every fold
YOLO-Pose + ByteTrack + ST-GCN++ + V-JEPA feature fusion,V-JEPA fusion,0.8875,0.8674698795180723,0.9113924050632911,0.8641975308641975,0.8888888888888888,0.8877949679637442,714.1679906235368,full-video 16-frame frozen features; head trained 300 epochs/fold
RTMPose + ST-GCN++ + V-JEPA suspicious-window score fusion,Previous V-JEPA fusion,0.875,0.8641975308641975,0.8860759493670886,0.8641975308641975,0.8749999999999999,0.875136740115643,517.26,previous pose-selected suspicious-window experiment
rtmpose+stgcnpp,300-epoch skeleton baseline,0.86875,0.8918918918918919,0.8354430379746836,0.9012345679012346,0.8627450980392156,0.8683388029379591,0.0,classifier 10.15 ms; pose frontend excluded
rtmpose_bytetrack+stgcnpp,300-epoch skeleton baseline,0.8625,0.8352941176470589,0.8987341772151899,0.8271604938271605,0.8658536585365854,0.8629473355211752,0.0,classifier 20.70 ms; pose frontend excluded
rtmpose+posec3d,300-epoch skeleton baseline,0.8625,0.8352941176470589,0.8987341772151899,0.8271604938271605,0.8658536585365854,0.8629473355211752,0.0,classifier 1.91 ms; pose frontend excluded
rtmpose_bytetrack_v2+stgcnpp,300-epoch skeleton baseline,0.84375,0.875,0.7974683544303798,0.8888888888888888,0.8344370860927153,0.8431786216596343,0.0,classifier 19.10 ms; pose frontend excluded
rtmpose+ctrgcn,300-epoch skeleton baseline,0.83125,0.8170731707317073,0.8481012658227848,0.8148148148148148,0.8322981366459627,0.8314580403187998,0.0,classifier 19.67 ms; pose frontend excluded
yolo_bytetrack+ctrgcn,300-epoch skeleton baseline,0.83125,0.825,0.8354430379746836,0.8271604938271605,0.8301886792452831,0.8313017659009221,0.0,classifier 21.90 ms; pose frontend excluded
yolo_bytetrack+posec3d,300-epoch skeleton baseline,0.825,0.7931034482758621,0.8734177215189873,0.7777777777777778,0.8313253012048193,0.8255977496483826,0.0,classifier 1.52 ms; pose frontend excluded
