epoch,train_loss,val_loss,lr,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_balanced_accuracy,val_tp,val_tn,val_fp,val_fn
1,0.681679653597402,5.597040519118309,0.0002999917754048268,0.5,0.5,1.0,0.0,0.6666666666666666,0.5,16,0,16,0
2,0.5586873784170046,1.0526256710290909,0.0002999671025212268,0.65625,0.5925925925925926,1.0,0.3125,0.7441860465116279,0.65625,16,5,11,0
3,0.4669589072793395,0.4581250995397568,0.0002999259840548597,0.84375,0.7894736842105263,0.9375,0.75,0.8571428571428572,0.84375,15,12,4,1
4,0.35727400340876736,0.3527311831712723,0.00029986842451482874,0.90625,0.9333333333333333,0.875,0.9375,0.9032258064516129,0.90625,14,15,1,2
5,0.2958074216986751,0.3224279135465622,0.000299794430213186,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
6,0.35901622064821015,0.32545439898967743,0.0002997040092642407,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
7,0.29198233701370574,0.2915889024734497,0.0002995971715836687,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
8,0.22994701056690006,0.2836042493581772,0.00029947392888742566,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
9,0.3045242474629329,0.22508813440799713,0.000299334294690462,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
10,0.18356736511974545,0.24090701341629028,0.00029917828430524096,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
11,0.19402930844616104,0.23818498849868774,0.0002990059148400594,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
12,0.21905009333903974,0.24099400639533997,0.0002988172051971717,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
13,0.16716816595622472,0.22771593928337097,0.0002986121760707165,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
14,0.19517361577395553,0.2697575092315674,0.0002983908499444482,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
15,0.17305816611745856,0.2716689556837082,0.00029815325108927063,0.9375,0.8888888888888888,1.0,0.875,0.9411764705882353,0.9375,16,14,2,0
16,0.1811213534284424,0.29748905450105667,0.0002978994055605757,0.9375,0.8888888888888888,1.0,0.875,0.9411764705882353,0.9375,16,14,2,0
17,0.15568990989045783,0.31855444610118866,0.0002976293411953862,0.875,0.8,1.0,0.75,0.888888888888889,0.875,16,12,4,0
18,0.1456627865414043,0.27860525250434875,0.00029734308760930326,0.9375,0.8888888888888888,1.0,0.875,0.9411764705882353,0.9375,16,14,2,0
19,0.15005986114124675,0.24630729854106903,0.0002970406761932582,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
20,0.13465034142955318,0.2535801976919174,0.00029672214011007076,0.96875,1.0,0.9375,1.0,0.967741935483871,0.96875,15,16,0,1
21,0.17309443963753,0.2925877645611763,0.000296387514290812,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
22,0.19615132238838698,0.2896901071071625,0.0002960368354309739,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
23,0.14321585769181724,0.22764265537261963,0.00029567014198644527,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
24,0.13431748846075037,0.23780886828899384,0.0002952874741692945,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
25,0.1547541896720509,0.2350846379995346,0.0002948888739433601,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
26,0.17506179082524645,0.23152800649404526,0.00029447438501964857,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
27,0.14201176608656788,0.2712152302265167,0.0002940440528515413,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
28,0.1376374322961975,0.3302290290594101,0.00029359792462980993,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
29,0.15058549714612438,0.4011846333742142,0.0002931360492774414,0.90625,0.8421052631578947,1.0,0.8125,0.9142857142857143,0.90625,16,13,3,0
30,0.14922388274591047,0.34574155509471893,0.0002926584774442729,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
31,0.13475743640255142,0.3560551702976227,0.00029216526150143774,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
32,0.3280119778035761,0.2707204520702362,0.00029165645553562203,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
33,0.15415729172937162,0.23510423302650452,0.0002911321153431337,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
34,0.1524996164735857,0.20937346667051315,0.00029059229842378357,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
35,0.14956582263930812,0.22228730469942093,0.00029003706397458007,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
36,0.1545625288080383,0.19465353339910507,0.00028946647288323756,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
37,0.1311656485547076,0.2307555079460144,0.0002888805877214991,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
38,0.15548170529879057,0.26761534810066223,0.00028827947273827497,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
39,0.14199338067363906,0.2804480716586113,0.0002876631938525971,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
40,0.16473384005027814,0.25641994178295135,0.00028703181864639,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
41,0.132940846321347,0.2339671403169632,0.0002863854163570602,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
42,0.14869840983506089,0.21800211817026138,0.0002857240578699029,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
43,0.1399336087179708,0.22970181703567505,0.000285047815710329,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
44,0.13242262601852417,0.29003874957561493,0.0002843567640359119,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
45,0.12518691345230565,0.31041280180215836,0.00028365097862825513,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
46,0.1361256256535813,0.3015824258327484,0.00028293053688468214,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
47,0.13070977078034327,0.29729776829481125,0.00028219551780974875,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
48,0.13102036092307542,0.283953920006752,0.0002814460020065795,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
49,0.14136701830468335,0.2876424044370651,0.0002806820716680284,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
50,0.1366847207421785,0.26629238575696945,0.0002799038105676658,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
51,0.13008787376540049,0.24908430129289627,0.0002791113040505915,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
52,0.1479135899098365,0.24922071397304535,0.00027830463902407595,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
53,0.1266573788700523,0.24216150492429733,0.0002774839039480296,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
54,0.12885760966238086,0.242706760764122,0.00027664918882530225,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
55,0.12922059720034126,0.25020793080329895,0.0002758005851918136,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
56,0.130693807051732,0.24123737215995789,0.0002749381861065149,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
57,0.13402101757762197,0.21715697646141052,0.00027406208614118424,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
58,0.14505334935345493,0.22483114153146744,0.00027317238137005556,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
59,0.12986992127620256,0.28073520958423615,0.00027226916935928306,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
60,0.12977858640990414,0.2968672215938568,0.00027135254915624206,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
61,0.1327865190885879,0.2758204713463783,0.0002704226212786671,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
62,0.13664581978714074,0.2842605412006378,0.00026947948770362937,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
63,0.14549304446676276,0.284213051199913,0.0002685232518563535,0.90625,0.8823529411764706,0.9375,0.875,0.9090909090909091,0.90625,15,14,2,1
64,0.13393636571836995,0.23739198595285416,0.0002675540185988759,0.9375,0.8888888888888888,1.0,0.875,0.9411764705882353,0.9375,16,14,2,0
65,0.13782109254664118,0.20906613022089005,0.00026657189421854557,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
66,0.13858428843073792,0.19937195628881454,0.0002655769864163683,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
67,0.1289651271078613,0.20440108329057693,0.00026456940429519626,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
68,0.1488726970913646,0.22034232318401337,0.00026354925834776334,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
69,0.1253512216793312,0.2139447033405304,0.0002625166604445688,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
70,0.1277043789952666,0.21987444162368774,0.00026147172382160903,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
71,0.1346457364794972,0.24377265572547913,0.00026041456306796003,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
72,0.13150965577953463,0.24143682420253754,0.0002593452941132116,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
73,0.12632892395441347,0.2364761307835579,0.0002582640342147542,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
74,0.13441923784685658,0.23057880997657776,0.00025717090194492037,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
75,0.14311874764306204,0.2083207070827484,0.000256066017177982,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
76,0.1342516513643684,0.1994202733039856,0.00025494950107700473,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
77,0.1268902450472444,0.20048928260803223,0.0002538214760805609,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
78,0.12423165306285187,0.20678740739822388,0.0002526820658893032,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
79,0.13802993166577684,0.21086641401052475,0.00025153139545239895,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
80,0.13028047815128996,0.23479892313480377,0.0002503695909538286,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
81,0.14173169073822733,0.23838508129119873,0.00024919677979854765,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
82,0.13018449387707554,0.2256004437804222,0.0002480130905985157,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
83,0.13436539160026298,0.2154543250799179,0.00024681865315859247,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
84,0.14516596021233025,0.23038429021835327,0.00024561359846230336,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
85,0.1375893980755911,0.34951311349868774,0.0002443980586574755,0.84375,0.8235294117647058,0.875,0.8125,0.8484848484848485,0.84375,14,13,3,2
86,0.1355632633625806,0.31065165996551514,0.00024317216704174648,0.90625,0.9333333333333333,0.875,0.9375,0.9032258064516129,0.90625,14,15,1,2
87,0.13712685809030636,0.26316046714782715,0.00024193605804794638,0.90625,0.9333333333333333,0.875,0.9375,0.9032258064516129,0.90625,14,15,1,2
88,0.1298033493560749,0.24409440159797668,0.00024068986722935616,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
89,0.14223710488487076,0.2566225975751877,0.00023943373124484226,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
90,0.12766632912578163,0.2589302211999893,0.00023816778784387086,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
91,0.13178582276616777,0.27694664895534515,0.0002368921758514017,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
92,0.12879074569586868,0.27264006435871124,0.0002356070351526647,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
93,0.12837330440243522,0.26945963501930237,0.00023431250667781952,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,15,15,1,1
94,0.1418489776142351,0.3267628699541092,0.0002330087323865015,0.90625,0.9333333333333333,0.875,0.9375,0.9032258064516129,0.90625,14,15,1,2
95,0.16321005590341903,0.24255742877721786,0.00023169585525225394,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
96,0.1304735302270114,0.2517693489789963,0.00023037401924684938,0.96875,0.9411764705882353,1.0,0.9375,0.9696969696969697,0.96875,16,15,1,0
