path,video_path,label,subject,dataset,start_frame,end_frame,start_seconds,end_seconds,fall_onset_seconds,pose_valid_ratio,selector_score
Subject 1/ADL/01.mp4#f96-159,Subject 1/ADL/01.mp4,0,1,gmdcsa24,96,159,3.241874,5.369354,,1.000000,0.9985491633415222
Subject 1/ADL/02.mp4#f64-127,Subject 1/ADL/02.mp4,0,1,gmdcsa24,64,127,2.162273,4.290761,,1.000000,0.9731729626655579
Subject 1/ADL/03.mp4#f96-159,Subject 1/ADL/03.mp4,0,1,gmdcsa24,96,159,3.227063,5.344824,,1.000000,0.36964914202690125
Subject 1/ADL/04.mp4#f0-63,Subject 1/ADL/04.mp4,0,1,gmdcsa24,0,63,0.000000,2.152858,,1.000000,0.08401903510093689
Subject 1/ADL/05.mp4#f0-63,Subject 1/ADL/05.mp4,0,1,gmdcsa24,0,63,0.000000,2.115837,,1.000000,0.5139675140380859
Subject 1/ADL/06.mp4#f48-111,Subject 1/ADL/06.mp4,0,1,gmdcsa24,48,111,1.612154,3.728106,,1.000000,0.06776893138885498
Subject 1/ADL/07.mp4#f160-223,Subject 1/ADL/07.mp4,0,1,gmdcsa24,160,223,5.383738,7.503585,,1.000000,0.07042006403207779
Subject 1/ADL/08.mp4#f64-127,Subject 1/ADL/08.mp4,0,1,gmdcsa24,64,127,2.152533,4.271433,,1.000000,0.07287068665027618
Subject 1/ADL/09.mp4#f48-111,Subject 1/ADL/09.mp4,0,1,gmdcsa24,48,111,1.630563,3.770678,,1.000000,0.06893701106309891
Subject 1/ADL/10.mp4#f48-111,Subject 1/ADL/10.mp4,0,1,gmdcsa24,48,111,1.636689,3.784843,,1.000000,0.062027253210544586
Subject 1/ADL/11.mp4#f48-111,Subject 1/ADL/11.mp4,0,1,gmdcsa24,48,111,1.613897,3.732138,,1.000000,0.6388180255889893
Subject 1/ADL/12.mp4#f0-63,Subject 1/ADL/12.mp4,0,1,gmdcsa24,0,63,0.000000,2.118168,,1.000000,0.06229047477245331
Subject 1/ADL/13.mp4#f64-127,Subject 1/ADL/13.mp4,0,1,gmdcsa24,64,127,2.158066,4.282413,,1.000000,0.245082825422287
Subject 1/ADL/14.mp4#f16-79,Subject 1/ADL/14.mp4,0,1,gmdcsa24,16,79,0.541750,2.674888,,1.000000,0.06553074717521667
Subject 1/ADL/15.mp4#f64-127,Subject 1/ADL/15.mp4,0,1,gmdcsa24,64,127,2.164297,4.294777,,1.000000,0.4764157831668854
